Station,Rank,Station Entries,Station Exits,"Prioritised for investment, by band.",Station proritised as a geographical filler.,Current Accessibility,,,,,
,,,Station Exits,,,Step-free access,PA,CIS,Station staffing,Overall accessibility,
London Bridge,1,"39,694,456","41,079,297",1,,Part,จน,จน,Full,Part,
London Waterloo,2,"33,857,325","34,574,013",,,Full,จน,จน,Full,Full,
London Victoria,3,"30,628,887","31,018,870",,,Full,จน,จน,Full,Full,
London Kings Cross,4,"23,989,317","25,148,376",,,Full,จน,จน,Full,Full,
London Liverpool Street,5,"19,843,988","19,124,826",,,Full,จน,จน,Full,Full,
London Euston,6,"13,585,027","14,202,208",,,Full,จน,จน,Full,Full,
London Paddington,7,"12,693,885","12,568,619",,,Full,จน,จน,Full,Full,
Glasgow Central,8,"11,618,852","11,339,404",,,Full,จน,จน,Full,Full,
London Fenchurch Street,9,"8,384,271","8,634,900",,,Full,จน,จน,Full,Full,
Clapham Junction,10,"8,353,269","8,768,939",1,,Part,จน,จน,Full,Part,
Manchester Piccadilly,11,"8,021,154","8,229,199",,,Full,จน,จน,Full,Full,
Birmingham N St,12,"7,084,759","7,135,777",,,Full,จน,จน,Full,Full,
East Croydon,13,"6,735,485","6,879,058",1,,Part,จน,จน,Full,Part,
City Thameslink,14,"6,441,454","6,509,684",,,Full,จน,จน,Full,Full,
Reading,15,"6,420,929","6,524,979",,,Full,จน,จน,Full,Full,
Edinburgh,16,"6,293,725","6,177,042",,,Full,จน,จน,Full,Full,
Wimbledon,17,"5,918,415","5,469,685",,,Full,จน,จน,Full,Full,
Leeds,18,"5,654,772","5,630,921",,,Full,จน,จน,Full,Full,
Brighton,19,"5,148,593","5,219,615",,,Full,จน,จน,Full,Full,
Liverpool Lime Street,20,"5,077,131","6,064,338",1,,Part,จน,จน,Full,Part,
Gatwick Airport,21,"4,420,913","4,220,423",,,Full,จน,จน,Full,Full,
Cardiff Central,22,"3,977,244","3,972,151",,,Full,จน,จน,Full,Full,
Richmond London,23,"3,444,535","3,130,636",,,Full,จน,จน,Full,Full,
Chelmsford,24,"3,217,951","3,227,414",,,Full,จน,จน,Full,Full,
Marylebone,25,"3,209,901","3,144,616",,,Full,จน,จน,Full,Full,
Putney,26,"3,134,361","3,156,408",1,,No,จน,จน,Full,Part,
Guildford,27,"3,011,199","3,042,307",1,,Part,จน,จน,Full,Part,
Woking,28,"2,925,966","2,950,230",1,,Part,จน,จน,Full,Part,
Surbiton,29,"2,800,393","2,762,321",,,Full,จน,จน,Full,Full,
London Charing Cross,30,"2,746,175","2,079,726",,,Full,จน,จน,Full,Full,
Cambridge,31,"2,742,837","2,735,275",,,Full,จน,จน,Full,Full,
Nottingham,32,"2,714,759","2,728,896",,,Full,จน,จน,Full,Full,
St Albans,33,"2,700,815","2,682,777",1,,Part,จน,จน,Full,Part,
Ealing Broadway,34,"2,625,702","2,631,318",1,,No,จน,จน,Full,Part,
Romford,35,"2,613,600","2,595,251",1,,Part,จน,,Full,Part,
Bristol Temple Meads,36,"2,590,543","2,586,575",,,Full,จน,จน,Full,Full,
Barking,37,"2,529,805","2,157,860",,,Full,จน,จน,Full,Full,
York,38,"2,500,244","2,485,152",,,Full,จน,จน,Full,Full,
Newcastle,39,"2,459,693","2,409,969",1,,Part,จน,จน,Full,Part,
Walthamstow Central,40,"2,454,538","2,179,078",1,,Part,จน,,Part,Part,
Bromley South,41,"2,344,985","2,364,269",,,Full,จน,จน,Full,Full,
Sutton London,42,"2,312,045","2,306,758",,,Full,จน,จน,Full,Full,
London St Pancras,43,"2,245,111","2,184,741",,,Insufficient info provided by station operator,,,Full,Part,
Slough,44,"2,202,951","2,223,070",1,,Part,จน,จน,Full,Part,
Southampton Central,45,"2,179,367","2,198,135",,,Full,จน,จน,Full,Full,
Leicester,46,"2,134,106","2,133,285",,,Full,จน,จน,Full,Full,
Sheffield,47,"2,128,662","2,119,159",,,Full,จน,จน,Full,Full,
Colchester,48,"1,991,933","2,013,936",,,Full,จน,จน,Full,Full,
Milton Keynes Central,49,"1,961,059","1,964,039",,,Full,จน,จน,Full,Full,
Watford Junction,50,"1,940,814","1,934,565",,,Full,จน,จน,Full,Full,
Ilford,51,"1,877,753","1,801,282",,,Part,จน,จน,Full,Part,
Basingstoke,52,"1,834,854","1,834,370",,,Part,จน,จน,Full,Part,
Tonbridge,53,"1,828,743","1,810,979",,,Full,จน,จน,Full,Full,
Oxford,54,"1,821,789","1,826,761",,,Full,จน,จน,Full,Full,
Lewisham,55,"1,782,870","1,823,557",1,,Part,จน,จน,Full,Part,
Upminster,56,"1,762,689","1,686,852",,,Full,จน,จน,Full,Full,
Orpington,57,"1,749,734","1,733,564",1,,Part,จน,จน,Part,Part,
Haywards Heath,58,"1,722,757","1,725,833",,,Full,จน,จน,Full,Full,
Peterborough,59,"1,691,286","1,695,294",1,,Part,,,Full,Part,
Bath Spa,60,"1,673,508","1,659,163",1,,Part,จน,จน,Part,Part,
Stevenage,61,"1,639,869","1,627,162",,,Full,จน,จน,Full,Full,
Maidenhead,62,"1,636,203","1,655,730",1,,Part,จน,จน,Full,Part,
Finsbury Park,63,"1,627,162","1,379,703",1,,No,จน,จน,Full,Part,
Sevenoaks,64,"1,626,678","1,640,708",,,Full,จน,จน,Full,Full,
Earlsfield,65,"1,608,730","1,611,176",1,,No,,จน,Part,Part,
Epsom,66,"1,602,713","1,594,041",1,,Part,จน,จน,Full,Part,
Tunbridge Wells,67,"1,507,976","1,519,571",1,,Part,,จน,Full,Part,
Stansted Airport,68,"1,476,956","1,501,815",,,Full,จน,จน,Full,Full,
Luton,69,"1,473,354","1,506,640",1,,Part,จน,จน,Full,Part,
Winchester,70,"1,470,853","1,471,791",1,,Part,จน,จน,Full,Part,
Balham,71,"1,460,199","1,450,191",1,,No,จน,จน,Part,Part,
Redhill,72,"1,454,155","1,463,512",1,,Part,จน,จน,Part,Part,
Chatham,73,"1,434,884","1,444,603",1,,Part,จน,จน,Full,Part,
Portsmouth & Southsea,74,"1,423,654","1,496,854",,,Full,จน,จน,Full,Full,
Preston,75,"1,396,347","1,383,419",,,Full,จน,จน,Full,Full,
Eastbourne,76,"1,376,029","1,381,600",,,Full,จน,จน,Full,Full,
Shenfield,77,"1,357,416","1,343,794",,,Full,จน,จน,Full,Full,
Billericay,78,"1,357,310","1,361,332",,,Full,จน,จน,Part,Part,
Dartford,79,"1,356,672","1,359,001",,,Full,จน,จน,Full,Full,
New Cross,80,"1,348,852","1,234,130",1,,Part,จน,จน,Part,Part,
Bedford,81,"1,321,062","1,331,294",,,Full,จน,จน,Full,Full,
Twickenham,82,"1,308,179","1,320,998",1,,Part,จน,จน,Full,Part,
Kingston,83,"1,296,601","1,346,182",1,,Part,จน,จน,Full,Part,
Paisley Gilmour St,84,"1,283,947","1,276,028",,,Full,จน,จน,Full,Full,
Southend Central,85,"1,265,063","1,339,302",,,Full,จน,จน,Part,Part,
Stratford London,86,"1,241,538","1,355,852",,,Full,จน,จน,Full,Full,
New Cross Gate,87,"1,238,503","1,030,791",1,,No,จน,จน,Full,Part,
Kings Cross Thameslink,88,"1,225,560","1,136,159",1,,No,จน,จน,Full,Part,
Abbey Wood,89,"1,225,282","1,200,118",,,Full,จน,จน,Part,Part,
Harpenden,90,"1,222,696","1,206,756",1,,Part,จน,จน,Part,Part,
Benfleet,91,"1,222,279","1,225,085",,,Full,จน,จน,Part,Part,
Sidcup,92,"1,217,671","1,203,479",,,Full,จน,จน,Insufficient info provided by station operator,Part,
Glasgow Queen Street,93,"1,206,306","822,567",1,,Part,จน,จน,Full,Part,
Woolwich Arsenal,94,"1,205,806","1,155,026",,,Full,จน,จน,Full,Full,
Derby,95,"1,202,503","1,195,784",,,Full,จน,จน,Full,Full,
Norwich,96,"1,196,989","1,154,247",,,Full,จน,จน,Full,Full,
Brentwood,97,"1,188,279","1,173,360",1,,Part,จน,จน,Part,Part,
Peckham Rye,98,"1,184,929","1,178,565",2,,No,จน,จน,Full,Part,
Coventry,99,"1,178,914","1,170,755",,,Full,จน,จน,Full,Full,
Doncaster,100,"1,172,871","1,174,713",,,Full,จน,จน,Full,Full,
Raynes Park,101,"1,162,489","1,108,035",2,,Part,จน,จน,Full,Part,
Blackheath,102,"1,148,855","1,132,090",2,,Part,จน,จน,Part,Part,
Grays,103,"1,126,344","1,106,995",,,Part,จน,จน,Part,Part,
Bexleyheath,104,"1,117,715","1,108,674",,,Full,จน,จน,Part,Part,
Witham,105,"1,085,714","1,087,829",,,Full,จน,จน,Full,Full,
Hither Green,106,"1,085,667","1,052,046",2,,Part,จน,จน,Full,Part,
Bishops Stortford,107,"1,084,301","1,082,374",,,Full,จน,จน,Full,Full,
Chester,108,"1,083,384","1,079,698",,,Full,จน,จน,Full,Full,
Forest Hill,109,"1,078,267","1,047,524",2,,Part,จน,จน,Part,Part,
Farnborough Main,110,"1,070,617","1,076,311",2,,Part,จน,จน,Insufficient info provided by station operator,Part,
London Cannon Street,111,"1,052,878","877,385",,,Full,จน,จน,Full,Full,
Swindon,112,"1,052,290","1,064,794",2,,Part,จน,จน,Full,Part,
Bournemouth,113,"1,050,951","1,057,215",,,Full,จน,จน,Full,Full,
Ashford Kent,114,"1,037,152","1,035,148",,,Full,จน,จน,Full,Full,
Chichester,115,"1,035,704","1,016,846",2,,Part,จน,จน,Full,Part,
Lewes,116,"1,029,941","1,026,117",2,,Part,จน,จน,Full,Part,
Wickford,117,"1,024,489","1,025,865",2,,Part,จน,จน,Full,Part,
Didcot Parkway,118,"1,017,399","1,019,286",,,Full,จน,จน,Full,Full,
Rayleigh,119,"1,016,412","1,018,186",2,,Part,จน,จน,Part,Part,
Norwood Junction,120,"1,011,658","1,004,227",2,,Part,จน,จน,Full,Part,
Ipswich,121,"1,008,970","1,013,576",,,Part,จน,จน,Full,Part,
Gravesend,122,"1,002,545","1,006,475",,,Full,จน,จน,Full,Full,
Birmingham Intl,123,"997,869","960,347",,,Full,จน,จน,Full,Full,
Basildon,124,"986,217","975,192",,,Full,จน,จน,Part,Part,
Streatham Common,125,"985,916","990,540",2,,No,จน,จน,Part,Part,
Worthing,126,"978,831","978,997",2,,Part,จน,จน,Full,Part,
Gillingham Kent,127,"978,638","984,489",,,Full,จน,จน,Full,Full,
Three Bridges,128,"974,431","978,373",2,,No,จน,จน,Part,Part,
Wolverhampton,129,"973,878","987,066",,,Full,จน,จน,Full,Full,
New Malden,130,"970,587","960,346",2,,Part,,จน,Part,Part,
Herne Hill,131,"970,286","943,403",2,,No,,จน,Full,Part,
Kew Gardens,132,"943,461","798,289",2,,Part,จน,จน,Part,Part,
Cardiff Queen Street,133,"943,045","898,215",,,Full,จน,จน,Part,Part,
Harold Wood,134,"934,529","944,871",2,,Part,จน,,Part,Part,
Sittingbourne,135,"931,718","921,055",2,,Part,จน,จน,Part,Part,
High Wycombe,136,"925,565","928,676",,,Part,จน,จน,Full,Part,
Gidea Park,137,"924,409","913,723",2,,No,จน,,Full,Part,
Eltham,138,"923,877","905,948",2,,Part,จน,จน,Part,Part,
Chadwell Heath,139,"919,398","917,474",2,,No,จน,,Part,Part,
Purley,140,"917,199","917,426",2,,Part,จน,,Full,Part,
Havant,141,"916,100","914,102",2,,Part,จน,จน,Full,Part,
Huddersfield,142,"915,891","910,122",,,Full,จน,,Full,Part,
Horsham,143,"909,535","925,045",2,,No,จน,จน,Full,Part,
Hull,144,"905,362","884,616",,,Full,จน,,Full,Part,
Elstree & Borehamwood,145,"900,381","905,417",2,,Part,จน,จน,Part,Part,
Aberdeen,146,"898,582","862,459",,,Full,จน,จน,Full,Full,
Stockport,147,"898,547","896,913",,,Full,จน,จน,Full,Full,
Hitchin,148,"898,544","908,345",,,Full,จน,จน,Part,Part,
Thornton Heath,149,"897,950","890,184",2,,No,จน,จน,Part,Part,
Liverpool Central,150,"888,991","197,545",,,Full,จน,จน,Full,Full,
New Eltham,151,"887,773","876,419",2,,Part,จน,จน,Part,Part,
Queens Park London,152,"886,035","901,656",2,,No,จน,,Part,Part,
Beckenham Junction,153,"884,001","877,456",,,Full,จน,จน,Full,Full,
Charing Cross Glasgow,154,"882,100","920,143",,,Full,จน,จน,Full,Full,
Welling,155,"880,124","883,295",2,,Part,จน,จน,Part,Part,
Canterbury West,156,"878,061","914,385",2,,Part,จน,จน,Part,Part,
Rainham (Kent),157,"878,017","885,673",,,Full,จน,จน,Part,Part,
Limehouse,158,"876,256","914,334",2,,No,จน,จน,Full,Part,
Staines,159,"876,204","877,314",3,,Part,จน,จน,Full,Part,
Bradford Interchange,160,"874,823","973,496",,,Full,จน,จน,Full,Full,
Greenwich,161,"874,118","883,111",,,Full,จน,จน,Part,Part,
Petts Wood,162,"873,532","862,345",3,,No,จน,จน,Part,Part,
Willesden Junction,163,"863,385","795,334",,,Full,จน,จน,Part,Part,
Welwyn Garden City,164,"862,636","854,798",3,,Part,จน,จน,Part,Part,
Northampton,165,"857,287","866,292",,,Full,จน,จน,Part,Part,
Walton On Thames,166,"843,942","830,041",3,,Part,จน,จน,Part,Part,
Grove Park,167,"832,896","805,714",3,,Part,จน,จน,Full,Part,
Wokingham,168,"832,240","825,770",,,Full,จน,จน,Full,Full,
Hove,169,"830,123","821,284",3,,Part,จน,จน,Full,Part,
Newport Gwent,170,"828,931","827,711",,,Full,จน,จน,Part,Part,
Gunnersbury,171,"824,289","685,955",3,,No,จน,,Part,Part,
Sydenham,172,"813,576","799,686",3,,Part,จน,จน,Part,Part,
Luton Airport Parkway,173,"809,626","759,552",,,Full,จน,จน,Full,Full,
Bolton,174,"800,004","812,790",,,Full,จน,จน,Full,Full,
Battersea Park,175,"799,019","791,066",3,,No,จน,จน,Part,Part,
Streatham Hill,176,"797,326","781,894",3,,No,จน,จน,Part,Part,
Denmark Hill,177,"797,286","771,648",3,,No,,จน,Part,Part,
Harlow Town,178,"789,751","790,983",,,Full,จน,จน,Full,Full,
Blackpool North,179,"789,611","782,669",,,Full,จน,จน,Full,Full,
Bracknell,180,"774,729","784,692",3,,Part,จน,จน,Part,Part,
Crewe,181,"773,969","763,846",,,Full,จน,จน,Full,Full,
Norbury,182,"773,940","758,486",3,,Part,จน,จน,Part,Part,
Laindon,183,"769,559","763,077",,,Full,จน,จน,Part,Part,
London Blackfriars,184,"767,873","676,946",3,,Part,จน,จน,Full,Part,
Exeter St Davids,185,"766,438","763,280",,,Full,จน,จน,Full,Full,
Darlington,186,"753,895","755,387",,,Full,จน,จน,Full,Full,
Weybridge,187,"752,615","758,320",3,,Part,จน,,Part,Part,
Leigh On Sea,188,"742,654","746,634",,,Full,จน,จน,Part,Part,
Goodmayes,189,"733,703","738,615",3,,No,จน,,Part,Part,
Crawley,190,"730,930","739,588",3,,Part,จน,จน,Part,Part,
Plymouth,191,"721,187","710,487",,,Full,จน,จน,Full,Full,
Stirling,192,"719,760","695,066",3,,Part,จน,จน,Full,Part,
Wakefield Westgate,193,"718,535","733,052",3,,Part,จน,จน,Full,Part,
Salisbury,194,"717,690","718,964",,,Full,จน,จน,Full,Full,
Feltham,195,"710,635","702,231",,,Full,จน,จน,Full,Full,
Hastings,196,"710,113","711,886",,,Full,จน,จน,Full,Full,
Seven Kings,197,"701,306","693,393",3,,No,จน,,Part,Part,
Teddington,198,"698,586","673,946",3,,Part,จน,จน,Part,Part,
Swansea,199,"698,543","685,008",,,Full,จน,จน,Part,Part,
Windsor & Eton Central,200,"697,521","686,097",,,Full,จน,จน,None,Part,
Potters Bar,201,"694,669","687,377",,,Full,จน,จน,Part,Part,
Brockley,202,"693,428","732,545",3,,Part,จน,จน,None,Part,
Worcester Park,203,"684,988","668,688",3,,Part,จน,,Part,Part,
Durham,204,"684,314","675,111",1,จน,Part,จน,จน,Full,Part,
Broxbourne,205,"680,227","675,066",,,Full,จน,จน,Full,Full,
Streatham,206,"677,269","695,459",3,,No,จน,จน,Full,Part,
Chafford Hundred,207,"670,306","706,080",,,Full,จน,จน,Part,Part,
Cheshunt,208,"662,022","659,595",3,,Insufficient info provided by station operator,จน,จน,Part,Part,
Faversham,209,"656,967","659,851",,,Full,จน,จน,Full,Full,
Wallington,210,"655,043","644,811",3,,Part,จน,จน,Part,Part,
Hayes & Harlington,211,"654,806","642,907",3,,Part,จน,จน,Full,Part,
Bristol Parkway,212,"649,053","644,139",,,Full,จน,จน,Full,Full,
Manchester Airport,213,"647,436","572,932",,,Full,จน,จน,Full,Full,
Highams Park,214,"645,169","634,260",3,,Part,จน,,None,Part,
Newbury,215,"641,859","644,700",,,Full,จน,จน,Full,Full,
Harrow & Wealdstone,216,"636,882","621,051",3,,Part,จน,จน,Full,Part,
Huntingdon,217,"636,743","640,421",3,,Part,จน,จน,Part,Part,
Edmonton Green,218,"634,378","615,798",3,,No,จน,จน,Part,Part,
Shrewsbury,219,"632,653","625,593",,,Full,จน,จน,Full,Full,
Barnehurst,220,"631,739","619,651",3,,Part,จน,จน,Part,Part,
Haslemere,221,"631,693","642,828",3,,Part,จน,จน,Full,Part,
Vauxhall,222,"629,889","499,648",,,No,จน,จน,Full,Part,
Leagrave,223,"628,033","624,985",1,,No,จน,,Part,Part,
Burgess Hill,224,"626,372","627,829",,,Part,จน,จน,Part,Part,
Hemel Hempstead,225,"624,879","648,461",,,Part,จน,จน,Part,Part,
Leatherhead,226,"623,575","631,076",,,No,จน,จน,Part,Part,
West Croydon,227,"622,609","487,867",,,No,จน,จน,Full,Part,
Chingford,228,"622,543","612,451",,,Full,จน,จน,None,Part,
Mill Hill Broadway,229,"618,964","617,140",1,,No,จน,,None,Part,
Swanley,230,"616,609","621,339",,,No,จน,จน,Full,Part,
Lincoln Central,231,"614,744","600,594",,,Full,จน,จน,Full,Full,
Dalston Kingsland,232,"614,622","577,806",,,No,จน,จน,None,Part,
Norbiton,233,"614,426","608,668",,,Part,จน,จน,Part,Part,
Forest Gate,234,"612,358","596,708",1,,No,จน,,Part,Part,
Hackney Downs,235,"610,208","618,841",,,No,จน,จน,Part,Part,
Gipsy Hill,236,"609,090","590,769",,,No,จน,จน,Part,Part,
Haymarket,237,"607,081","480,675",,,Part,จน,จน,Full,Part,
Dundee,238,"606,834","597,472",,,Full,จน,จน,Full,Full,
Worcester Shrub Hill,239,"597,810","627,947",,,Part,จน,จน,Part,Part,
Oxted,240,"596,488","593,989",,,Part,จน,จน,Full,Part,
Wembley Central,241,"591,637","600,353",,,No,จน,จน,Full,Part,
Egham,242,"591,476","592,559",,,Full,จน,จน,Part,Part,
Ayr,243,"587,053","566,524",,,Part,จน,จน,Full,Part,
Lee,244,"583,173","567,931",,,Full,จน,จน,Part,Part,
Kensal Green,245,"582,649","465,737",1,,No,จน,,Part,Part,
Dorking,246,"581,461","587,232",,,Part,จน,จน,Full,Part,
Chippenham,247,"572,595","578,207",1,จน,No,จน,จน,Part,Part,
Mortlake,248,"570,676","589,380",,,Part,จน,จน,Part,Part,
Loughborough,249,"569,005","577,089",1,จน,Part,จน,จน,Full,Part,
Leighton Buzzard,250,"568,606","574,057",,,Part,จน,จน,Part,Part,
Hertford North,251,"565,539","590,944",,,Part,จน,จน,Part,Part,
Fratton,252,"564,494","545,437",,,Part,จน,จน,Part,Part,
Partick,253,"564,197","540,626",,,Part,จน,จน,Full,Part,
Hatfield Herts,254,"562,504","567,642",,,Part,จน,จน,Full,Part,
Lancaster,255,"562,252","553,196",,,Full,จน,จน,Full,Full,
Maidstone West,256,"561,177","600,226",,,Part,จน,จน,Full,Part,
Birkenhead Hamltn Sq,257,"560,118","461,444",,,Full,จน,จน,Full,Full,
Catford Bridge,258,"559,264","511,750",,,Part,จน,จน,Part,Part,
Fareham,259,"558,860","560,535",,,Part,จน,จน,Part,Part,
Stoke On Trent,260,"556,910","560,812",2,จน,Part,จน,จน,Part,Part,
Enfield Town,261,"549,655","543,421",,,Full,จน,จน,Part,Part,
Exeter Central,262,"548,330","529,449",1,จน,Part,จน,จน,Full,Part,
Southport,263,"543,126","537,641",,,Full,จน,จน,Full,Full,
Letchworth,264,"541,998","549,231",,,No,จน,จน,Full,Part,
Carlisle,265,"540,094","532,877",1,จน,Part,,,Full,Part,
Wigan North Western,266,"534,534","573,546",,,Full,จน,จน,Full,Full,
Camden Road,267,"533,888","553,503",,,No,จน,จน,Full,Part,
Paddock Wood,268,"533,472","533,913",,,Part,จน,จน,Part,Part,
Flitwick,269,"531,789","533,383",,,Part,จน,จน,Part,Part,
Wandsworth Town,270,"529,857","522,921",,,No,จน,จน,Part,Part,
Honor Oak Park,271,"529,351","505,007",,,No,จน,จน,Part,Part,
Twyford,272,"528,591","525,009",,,Part,จน,จน,Full,Part,
Fleet,273,"525,048","532,782",,,Part,จน,จน,Part,Part,
Southend Victoria,274,"524,614","446,973",,,Full,จน,จน,Full,Full,
Tulse Hill,275,"520,641","508,019",,,No,จน,จน,Part,Part,
Ely,276,"519,018","519,690",,,Part,จน,จน,Full,Part,
Berkhamsted,277,"518,665","523,743",1,,Part,จน,,Full,Part,
Farnham,278,"516,337","523,813",,,Part,จน,จน,Full,Part,
Charlton,279,"514,814","502,606",1,,Full,,จน,Part,Part,
Mottingham,280,"510,191","496,380",,,Full,จน,จน,Part,Part,
Aldershot,281,"508,639","514,393",,,Part,จน,จน,Full,Part,
Hockley,282,"507,004","504,939",,,Part,จน,จน,Part,Part,
Eastleigh,283,"505,548","500,960",,,Full,จน,จน,Full,Full,
Shortlands,284,"501,917","505,798",,,No,จน,จน,Part,Part,
Leamington Spa,285,"499,336","491,775",,,Full,จน,จน,Full,Full,
East Grinstead,286,"498,318","500,538",,,Part,จน,จน,Part,Part,
Meadowhall,287,"498,002","487,221",1,,Full,จน,,Part,Part,
Southampton A Parkway,288,"496,999","490,403",,,Part,จน,จน,Full,Part,
Beaconsfield,289,"495,517","500,513",,,Insufficient info provided by station operator,จน,,Part,Part,
Chalkwell,290,"493,319","488,727",,,No,จน,จน,Part,Part,
St Mary Cray,291,"489,656","486,180",,,No,จน,จน,Full,Part,
West Norwood,292,"488,596","479,704",,,No,จน,จน,Part,Part,
Stafford,293,"486,776","483,135",2,จน,Part,,,Full,Part,
Shoreham By Sea,294,"480,555","478,776",,,No,จน,จน,Part,Part,
Aylesbury,295,"477,386","461,647",,,Part,จน,จน,Full,Part,
Southall,296,"476,900","469,623",,,Part,จน,จน,Full,Part,
Crayford,297,"476,344","479,205",,,Part,จน,จน,Part,Part,
Radlett,298,"476,027","475,890",,,No,จน,จน,Part,Part,
Gerrards Cross,299,"473,198","473,822",,,Insufficient info provided by station operator,จน,,Part,Part,
Royston,300,"465,708","469,730",,,Full,จน,,Full,Part,
West Hampstd Thm,301,"465,480","380,629",,,No,จน,จน,Part,Part,
Rugby,302,"463,075","467,896",,,Part,จน,จน,Full,Part,
Brockenhurst,303,"462,402","461,713",,,Part,จน,จน,Part,Part,
Poole,304,"461,343","459,310",,,Full,จน,จน,Part,Part,
Banbury,305,"459,864","460,738",,,Full,จน,จน,Full,Full,
Petersfield,306,"455,930","458,255",,,Part,จน,จน,Full,Part,
Middlesbrough,307,"455,229","447,494",,,Full,จน,,Part,Part,
Pitsea,308,"453,782","446,380",,,Part,จน,จน,Full,Part,
Motherwell,309,"450,964","457,150",1,จน,Part,จน,จน,Full,Part,
Bognor Regis,310,"449,873","455,809",,,Full,จน,จน,Full,Full,
Chesterfield,311,"447,935","456,114",,,Full,จน,จน,Full,Full,
Harrogate,312,"444,915","442,460",1,,Full,,,Full,Part,
Kirkcaldy,313,"443,510","447,258",,,Full,จน,จน,Full,Full,
West Byfleet,314,"442,843","436,986",,,Part,จน,จน,Part,Part,
Bexley,315,"441,210","442,247",,,Part,จน,จน,Part,Part,
Warrington Bank Quay,316,"441,174","507,857",1,จน,Part,จน,จน,Full,Part,
Linlithgow,317,"439,035","473,366",1,จน,Part,จน,จน,Full,Part,
Crystal Palace,318,"438,870","434,383",,,No,จน,จน,Part,Part,
Cheltenham Spa,319,"437,147","443,915",,,Full,จน,จน,Full,Full,
Helensburgh Central,320,"434,621","419,978",,,Full,จน,จน,Full,Full,
Keighley,321,"432,802","442,069",,,Full,จน,จน,Part,Part,
Bexhill,322,"430,711","429,722",,,No,จน,จน,Part,Part,
Ascot Berks,323,"429,466","428,409",,,Part,จน,จน,Part,Part,
Dover Priory,324,"428,898","417,240",,,Full,จน,จน,Full,Full,
Elmstead Woods,325,"428,546","422,868",,,Part,จน,จน,Part,Part,
Chislehurst,326,"428,471","417,756",1,,Part,จน,,Part,Part,
Manor Park,327,"427,475","447,731",,,No,จน,จน,Part,Part,
Penge East,328,"427,138","385,792",,,Part,จน,จน,Part,Part,
Clapton,329,"426,840","443,888",,,No,จน,จน,Part,Part,
Barnes,330,"425,841","420,503",,,Part,จน,จน,Part,Part,
Catford,331,"424,836","457,307",1,,No,,จน,Part,Part,
Westcliff,332,"424,829","419,171",,,Part,จน,จน,Part,Part,
Godalming,333,"422,939","427,128",,,Part,จน,จน,Part,Part,
Kettering,334,"422,362","431,628",,,Full,จน,จน,Full,Full,
Burnham Bucks,335,"422,104","426,582",,,No,จน,จน,Part,Part,
Wandsworth Common,336,"420,111","404,374",,,No,จน,จน,Part,Part,
Johnstone Strathclyd,337,"419,622","425,379",,,Full,จน,จน,Full,Full,
Windsor & Eton Riverside,338,"419,337","418,485",,,Full,จน,จน,Full,Full,
Kensington Olympia,339,"418,752","343,351",,,Full,จน,จน,Full,Full,
Hassocks,340,"413,867","411,448",,,No,จน,จน,Part,Part,
Rainham London,341,"413,351","407,895",,,Part,จน,จน,Part,Part,
Andover,342,"413,334","420,118",,,Full,จน,จน,Part,Part,
Falkirk Grahamston,343,"408,711","459,940",,,Full,จน,จน,Full,Full,
Maidstone East,344,"407,141","359,602",,,Part,จน,จน,Full,Part,
Clock House,345,"406,269","405,884",,,No,จน,จน,Part,Part,
University,346,"405,430","379,687",,,Full,จน,จน,Full,Full,
Grantham,347,"404,010","402,289",2,จน,Part,จน,จน,Full,Part,
Palmers Green,348,"401,678","393,455",1,,No,จน,,Part,Part,
Airdrie,349,"398,736","403,606",,,Full,จน,จน,Full,Full,
Hampton Court,350,"398,511","383,914",,,Full,จน,จน,Part,Part,
Inverkeithing,351,"394,844","393,610",,,Full,จน,จน,Full,Full,
Stanford Le Hope,352,"394,720","385,226",,,Full,จน,จน,Part,Part,
Kelvedon,353,"394,239","395,248",,,Full,จน,จน,Part,Part,
Folkestone Central,354,"392,389","399,731",1,,Full,จน,,Full,Part,
Tooting,355,"392,344","405,918",,,No,จน,จน,Full,Part,
St Margarets London,356,"392,005","384,116",,,No,จน,จน,Part,Part,
Coulsdon South,357,"389,092","421,141",,,No,จน,จน,Part,Part,
Ashtead,358,"386,445","390,937",,,Full,จน,จน,Part,Part,
Kilwinning,359,"386,226","393,661",,,Full,จน,จน,Full,Full,
Blackburn,360,"385,552","396,009",,,Full,จน,จน,Full,Full,
Ramsgate,361,"384,957","372,436",,,Full,จน,จน,Full,Full,
Taunton,362,"384,693","383,607",,,Full,จน,จน,Full,Full,
Horley,363,"384,526","389,374",,,No,จน,จน,Part,Part,
Hackney Central,364,"380,880","365,279",,,Part,จน,จน,Full,Part,
Braintree,365,"378,687","384,712",,,Full,จน,จน,Part,Part,
Audley End,366,"378,492","384,023",,,Part,จน,จน,Part,Part,
Carshalton,367,"378,026","365,527",,,No,จน,จน,Part,Part,
Inverness,368,"376,305","345,053",,,Full,จน,จน,Full,Full,
Whitton,369,"375,805","360,484",,,No,จน,จน,Part,Part,
Gloucester,370,"375,351","372,804",,,Full,จน,จน,Full,Full,
Kidbrooke,371,"375,261","360,949",,,Full,จน,จน,Part,Part,
Falmer,372,"374,286","355,367",,,No,จน,จน,Part,Part,
Staplehurst,373,"373,456","372,816",,,Part,จน,จน,Part,Part,
Bridgend,374,"370,784","372,279",,,Full,จน,จน,Full,Full,
