Station Name, County, Region,TOC, NLC Code, Entries Standard, Entries Reduced, Entries Season,Total Entries, Exits Standard, Exits Reduced, Exits Season,Total Exits, All Entries & Exits 0405,Interchanges,Change
Singer, West Dunbartonshire , Scotland ,First ScotRail,9988,"122,617","87,766","68,185","278,568","104,111","87,771","68,185","260,067","538,634",,Growth
Dalmuir, West Dunbartonshire , Scotland ,First ScotRail,9992,"119,518","67,716","79,125","266,359","122,840","67,711","79,125","269,676","536,035","6,957",Growth
Hackbridge, Greater London , London ,Southern,5364,"46,878","48,158","172,883","267,919","46,196","48,302","172,883","267,381","535,300",,Decline
Blairhill, North Lanarkshire , Scotland ,First ScotRail,9760,"64,732","54,802","145,459","264,993","69,483","54,804","145,459","269,746","534,739",,Growth
Bangor (Gwynedd), Gwynedd , Wales ,Northern Rail,2471,"51,888","181,164","35,789","268,841","49,276","180,280","35,789","265,345","534,185",931,Growth
Westerton, East Dunbartonshire , Scotland ,First ScotRail,9998,"109,127","82,590","74,144","265,861","111,136","82,522","74,144","267,802","533,662","21,488",Growth
Upper Warlingham, Surrey , South East ,Southern,5391,"36,532","46,784","183,519","266,835","36,236","46,812","183,519","266,567","533,403",2,Growth
Uddingston, South Lanarkshire , Scotland ,First ScotRail,9776,"105,707","67,056","90,428","263,191","112,662","67,052","90,428","270,142","533,333",,Growth
Falkirk High, Falkirk , Scotland ,First ScotRail,9931,"63,556","99,739","116,129","279,424","44,778","92,404","116,129","253,311","532,735","2,583",Growth
St.Leonards Warrior Square, East Sussex , South East ,South Eastern,5239,"63,213","131,921","75,182","270,316","56,743","126,964","75,182","258,889","529,205","59,404",Growth
Bromley North, Greater London , London ,South Eastern,5096,"27,058","30,400","205,144","262,602","30,333","30,507","205,144","265,984","528,586",,Growth
Stratford-Upon-Avon, Warwickshire , West Midlands ,Central Trains,4558,"59,459","187,677","22,842","269,978","51,634","182,664","22,842","257,140","527,119",439,Growth
Angmering, West Sussex , South East ,Southern,5267,"42,932","128,900","90,721","262,553","40,982","131,754","90,721","263,457","526,011",,Growth
Strood, Kent , South East ,South Eastern,5191,"85,065","82,633","95,573","263,271","83,580","81,773","95,573","260,926","524,196","230,584",Decline
Bush Hill Park, Greater London , London ,WAGN,6913,"57,020","58,460","150,834","266,314","48,351","58,452","150,834","257,636","523,950",,Decline
Martins Heron, Berkshire , South East ,South West Trains,5692,"66,244","87,708","105,495","259,447","69,751","88,663","105,495","263,909","523,356",,Growth
Hersham, Surrey , South East ,South West Trains,5590,"66,167","67,759","126,376","260,302","67,452","67,596","126,376","261,424","521,726",,Growth
Brentford, Greater London , London ,South West Trains,5552,"70,369","62,532","122,411","255,312","77,499","62,518","122,411","262,428","517,740",,Growth
Kirkby (Merseyside), Merseyside , North West and Merseysid ,Merseyrail,2124,"118,535","131,089",996,"250,620","133,223","131,168",996,"265,387","516,007","42,798",Growth
New Milton, Hampshire , South East ,South West Trains,5881,"73,271","120,170","64,553","257,994","71,938","121,229","64,553","257,720","515,715",,Growth
Trowbridge, Wiltshire , South West ,Wessex Trains,3348,"91,617","109,369","54,594","255,580","95,052","109,558","54,594","259,204","514,783","2,768",Growth
Sutton Coldfield, West Midlands , West Midlands ,Central Trains,1044,"106,004","137,426","6,771","250,201","117,155","137,485","6,771","261,411","511,612",,Growth
Hook, Hampshire , South East ,South West Trains,5523,"64,488","91,442","96,908","252,838","64,672","95,823","96,908","257,403","510,242",,Growth
Kent House, Greater London , London ,South Eastern,5080,"41,638","38,897","176,873","257,408","36,611","38,970","176,873","252,454","509,862",23,Decline
Troon, South Ayrshire , Scotland ,First ScotRail,9562,"92,448","74,704","77,223","244,375","113,020","74,699","77,223","264,942","509,318","3,193",Growth
Barrow-In-Furness, Cumbria , North West and Merseysid ,Northern Rail,1954,"69,220","135,758","52,801","257,779","64,721","133,130","52,801","250,652","508,430","7,929",Growth
Shoeburyness, Essex , Eastern ,c2c,7455,"60,214","59,033","130,634","249,881","66,359","59,248","130,634","256,241","506,123",,Growth
Bishopbriggs, East Dunbartonshire , Scotland ,First ScotRail,9940,"74,635","100,718","65,655","241,008","98,012","98,627","65,655","262,294","503,303",,Growth
Hounslow, Greater London , London ,South West Trains,5563,"59,348","55,604","134,294","249,247","61,665","56,449","134,294","252,408","501,654",165,Growth
Westcombe Park, Greater London , London ,South Eastern,5151,"55,113","45,629","155,611","256,353","43,570","45,777","155,611","244,958","501,312",,Decline
Exhibition Centre Glasgow, Glasgow City , Scotland ,First ScotRail,9914,"96,883","108,192","43,873","248,948","98,023","108,382","43,873","250,278","499,226",,Growth
Birkenhead Park, Merseyside , North West and Merseysid ,Merseyrail,2220,"104,728","118,031",505,"223,264","154,183","118,042",505,"272,730","495,994",,Growth
Hamilton West, South Lanarkshire , Scotland ,First ScotRail,9727,"93,527","60,346","94,312","248,185","90,087","60,358","94,312","244,757","492,942",,Growth
Watford High Street, Hertfordshire , Eastern ,Silverlink,1455,"60,113","107,148","75,023","242,284","64,440","108,590","75,023","248,053","490,337",,Decline
Battle, East Sussex , South East ,South Eastern,5215,"32,874","88,253","122,702","243,829","37,122","85,330","122,702","245,154","488,983",,Growth
Merstham, Surrey , South East ,Southern,5475,"32,692","48,419","163,231","244,342","34,109","46,750","163,231","244,090","488,433",,Growth
Great Missenden, Buckinghamshire , South East ,Chiltern,1463,"65,076","77,560","102,160","244,796","63,721","77,724","102,160","243,605","488,401",,Growth
Balloch, West Dunbartonshire , Scotland ,First ScotRail,9862,"71,046","83,297","90,007","244,350","69,302","83,313","90,007","242,622","486,973",,Growth
West Hampstead Thameslink, Greater London , London ,Thameslink,1525,"48,108","55,315","161,020","264,444","18,730","40,031","161,020","219,782","484,226","357,036",Decline
Rhyl, Denbighshire , Wales ,Northern Rail,2461,"53,555","164,057","22,272","239,884","56,602","164,890","22,272","243,764","483,649",,Growth
Cobham & Stoke D'abernon, Surrey , South East ,South West Trains,5557,"60,384","66,700","110,986","238,070","66,866","67,076","110,986","244,928","482,998",,Growth
Cathays, Cardiff , Wales ,Arriva Trains Wales,3820,"67,747","88,908","74,398","231,053","88,655","88,886","74,398","251,939","482,993",,Growth
Langley, Berkshire , South East ,Great Western,3171,"60,923","65,571","110,626","237,120","69,245","65,413","110,626","245,284","482,403",,Decline
Cambuslang, South Lanarkshire , Scotland ,First ScotRail,9768,"84,942","61,062","87,004","233,008","100,782","61,065","87,004","248,851","481,858","4,946",Growth
North Dulwich, Greater London , London ,Southern,5429,"60,484","55,335","130,167","245,986","50,174","55,393","130,167","235,734","481,719",,Decline
Alton, Hampshire , South East ,South West Trains,5544,"52,672","82,081","105,712","240,465","50,599","84,013","105,712","240,324","480,790",,Growth
Ockendon, Essex , Eastern ,c2c,7451,"64,184","39,639","136,130","239,953","65,000","39,701","136,130","240,831","480,784",,Growth
West Worthing, West Sussex , South East ,Southern,5278,"43,366","86,094","108,816","238,276","41,880","87,243","108,816","237,939","476,215",,Growth
Neath, Neath Port Talbot , Wales ,Great Western,4216,"76,681","136,640","23,287","236,608","76,365","136,398","23,287","236,050","472,657",,Decline
Barrhead, East Renfrewshire , Scotland ,First ScotRail,9674,"84,161","70,252","76,211","230,624","95,551","70,244","76,211","242,006","472,629",,Growth
Thames Ditton, Surrey , South East ,South West Trains,5610,"45,021","56,109","131,991","233,121","49,889","56,219","131,991","238,099","471,220",,Growth
Bishopton, Renfrewshire , Scotland ,First ScotRail,9620,"83,075","66,641","79,777","229,493","94,606","66,645","79,777","241,028","470,520",,Growth
Claygate, Surrey , South East ,South West Trains,5556,"48,367","55,134","130,305","233,806","50,786","55,363","130,305","236,454","470,260",,Growth
Bellshill, North Lanarkshire , Scotland ,First ScotRail,9714,"86,579","69,864","72,623","229,066","97,150","69,878","72,623","239,651","468,717","7,406",Growth
Argyle Street, Glasgow City , Scotland ,First ScotRail,9961,"147,124","56,562","65,221","268,907","76,617","56,561","65,221","198,399","467,305",,Growth
Manchester Victoria, Greater Manchester , North West and Merseysid ,Northern Rail,2970,"51,413","219,306","33,955","304,674","21,357","107,311","33,955","162,623","467,297","424,646",Growth
Longfield, Kent , South East ,South Eastern,5114,"40,542","63,332","127,211","231,085","38,961","69,336","127,211","235,508","466,593",,Growth
Bellingham, Greater London , London ,South Eastern,5062,"34,665","34,719","166,757","236,141","26,541","34,651","166,757","227,949","464,090",,Growth
Aberdare," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3982,"62,342","106,692","69,980","239,014","48,294","106,739","69,980","225,013","464,026",,Growth
Belvedere, Greater London , London ,South Eastern,5092,"39,717","31,202","163,290","234,209","34,410","31,467","163,290","229,167","463,375",,Growth
Steeton & Silsden, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8469,"110,450","84,983","35,962","231,395","111,260","84,631","35,962","231,853","463,248",,Growth
Kilmarnock, East Ayrshire , Scotland ,First ScotRail,9512,"70,618","90,331","67,829","228,778","75,317","90,147","67,829","233,293","462,070","10,946",Growth
Rochford, Essex , Eastern ,one,6885,"39,728","93,073","92,208","225,009","51,209","92,987","92,208","236,404","461,413",,Decline
Liphook, Hampshire , South East ,South West Trains,5634,"48,082","88,299","92,586","228,967","48,902","90,692","92,586","232,180","461,148",,Growth
Hildenborough, Kent , South East ,South Eastern,5236,"30,369","28,102","169,892","228,363","32,904","28,113","169,892","230,909","459,272",,Growth
Sunderland, Tyne and Wear , North East ,Northern Rail,7640,"79,319","130,323","18,121","227,763","79,034","134,249","18,121","231,404","459,167",837,Decline
Princes Risborough, Buckinghamshire , South East ,Chiltern,3055,"56,188","84,332","89,646","230,166","54,146","84,563","89,646","228,355","458,521","110,008",Growth
Blundellsands & Crosby, Merseyside , North West and Merseysid ,Merseyrail,2123,"106,098","117,018","1,094","224,210","114,921","117,122","1,094","233,137","457,346",,Growth
Hackney Central, Greater London , London ,Silverlink,6977,"71,080","50,902","114,616","236,597","54,546","51,014","114,616","220,176","456,772",,Decline
Treherbert," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3889,"48,880","132,569","55,495","236,944","31,415","132,542","55,495","219,452","456,396",,Growth
Skegness, Lincolnshire , East Midlands ,Central Trains,6265,"57,198","123,661","47,586","228,445","54,149","123,276","47,586","225,011","453,456",,Growth
Ryde Esplanade, Isle of Wight , South East ,Island Line,5542,"121,345","69,528","31,851","222,724","129,160","69,579","31,851","230,590","453,314",,Growth
Orrell Park, Merseyside , North West and Merseysid ,Merseyrail,2247,"99,105","117,097","2,698","218,900","114,164","117,128","2,698","233,990","452,889",,Growth
Penarth, Vale of Glamorgan , Wales ,Arriva Trains Wales,3863,"62,900","90,925","71,640","225,465","64,613","90,891","71,640","227,144","452,609",,Growth
Tring, Hertfordshire , Eastern ,Silverlink,1393,"61,194","58,361","103,733","223,288","63,796","61,556","103,733","229,085","452,372",692,Growth
Five Ways, West Midlands , West Midlands ,Central Trains,4503,"108,434","106,116","7,401","221,951","115,192","105,862","7,401","228,455","450,406",,Growth
Broadstairs, Kent , South East ,South Eastern,5006,"37,476","104,905","82,711","225,092","36,499","104,831","82,711","224,041","449,134",,Growth
Bethnal Green, Greater London , London ,WAGN,6961,"35,128","30,989","139,881","205,998","71,275","31,209","139,881","242,366","448,364",,Growth
Hurst Green, Surrey , South East ,Southern,5463,"33,479","44,394","148,625","226,498","26,687","44,957","148,625","220,269","446,767","22,364",Growth
Nunhead, Greater London , London ,South Eastern,5068,"48,980","40,303","135,693","224,977","42,900","40,420","135,693","219,014","443,990",,Growth
Warrington Central, Cheshire , North West and Merseysid ,Northern Rail,2390,"100,587","102,443","43,256","246,286","53,050","101,059","43,256","197,365","443,650","129,477",Growth
Hampton Wick, Greater London , London ,South West Trains,5589,"57,320","56,608","107,521","221,449","56,686","56,751","107,521","220,957","442,406",,Growth
Rotherham Central, South Yorkshire , Yorkshire and the Humber ,Northern Rail,6676,"83,586","111,857","19,177","214,620","96,778","110,431","19,177","226,386","441,006",236,Growth
