Station Name, County, Region,TOC, NLC Code, Entries Standard, Entries Reduced, Entries Season,Total Entries, Exits Standard, Exits Reduced, Exits Season,Total Exits, All Entries & Exits 0405,Interchanges,Change
Overton, Hampshire , South East ,South West Trains,5526,"9,996","9,937","22,955","42,888","9,146","11,980","22,955","44,081","86,970",,Growth
Great Chesterford, Essex , Eastern ,WAGN,7032,"9,612","6,691","26,093","42,396","11,663","6,677","26,093","44,433","86,829",,Growth
Frant, East Sussex , South East ,South Eastern,5218,"5,623","7,475","29,663","42,761","6,337","7,932","29,663","43,932","86,693",,Decline
Sway, Hampshire , South East ,South West Trains,5884,"12,151","14,913","15,299","42,363","13,749","15,162","15,299","44,210","86,574",,Growth
Jewellery Quarter, West Midlands , West Midlands ,Central Trains,1097,"21,484","20,239",960,"42,683","22,689","20,196",960,"43,845","86,529",,Growth
Aughton Park, Lancashire , North West and Merseysid ,Merseyrail,2215,"14,094","23,699","3,908","41,701","17,103","23,701","3,908","44,712","86,413",,Decline
Shiplake, Oxfordshire , South East ,Great Western,3150,"12,206","14,421","15,831","42,458","12,536","15,573","15,831","43,940","86,399",,Decline
Buxted, East Sussex , South East ,Southern,5324,"8,150","5,983","28,680","42,813","8,849","6,027","28,680","43,556","86,368",,Growth
Uttoxeter, Staffordshire , West Midlands ,Central Trains,1342,"21,884","16,960","3,101","41,945","23,643","17,675","3,101","44,419","86,365",,Decline
Sutton Common, Greater London , London ,Southern,5436,"12,378","11,245","15,957","39,580","13,849","16,917","15,957","46,723","86,304",,Growth
Falmouth Town, Cornwall , South West ,Wessex Trains,3591,"12,880","28,730",165,"41,775","14,572","29,347",165,"44,084","85,859",,Growth
Knottingley, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8546,"21,311","21,311",813,"43,435","19,201","21,967",813,"41,981","85,416",,Growth
Watlington, Norfolk , Eastern ,WAGN,7057,"12,948","14,494","13,514","40,956","16,251","14,511","13,514","44,276","85,231",,Growth
Plumpton, East Sussex , South East ,Southern,5332,"4,466","11,449","26,045","41,960","4,400","12,421","26,045","42,866","84,826",,Growth
Pitlochry, Perth and Kinross , Scotland ,First ScotRail,8801,"6,102","35,850",131,"42,083","5,761","36,581",131,"42,473","84,555",,Growth
