NLC,TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,"NUTS2 Spatial
Unit Code",NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,London Joint Station,"Entries
Full","Entries
Reduced","Entries
Season","Entries
Total","Exits
Full","Exits
Reduced","Exits
Season","Exits
Total","0809
Entries & Exits","0708
Entries & Exits","0809
Interchanges",Check,Check Detail,Check Reason
3897,TPN,Ton Pentre,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"8,807","10,772","30,882","50,461","8,807","10,772","30,882","50,461","100,922","92,481",0,,,
5229,TON,Tonbridge,South East,Kent,Tonbridge And Malling,UKJ4,Kent,Southeastern,,,,,"326,415","597,325","1,182,041","2,105,781","326,415","597,325","1,182,041","2,105,781","4,211,562","4,314,602","587,230",,,
4271,TDU,Tondu,Wales - Cymru,Bridgend - Pen-Y-Bont Ar Ogwr,Bridgend - Pen-Y-Bont Ar Ogwr,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"6,164","6,516","2,106","14,786","6,164","6,516","2,106","14,786","29,572","28,371",0,,,
4432,TNF,Tonfanau,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,588,83,5,676,588,83,5,676,"1,352","1,145",0,,,
3882,TNP,Tonypandy,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"12,756","19,433","9,094","41,283","12,756","19,433","9,094","41,283","82,566","78,305",0,,,
5389,TOO,Tooting,London,Greater London,Merton,UKI2,Outer London,First Capital Connect,,,London Travelcard Area Station,,"71,670","92,081","392,481","556,232","71,670","92,081","392,481","556,232","1,112,464","1,354,500",0,Check,Decline of more than 12% ,
5758,TOP,Topsham,South West,Devon,Exeter,UKK4,Devon,First Great Western,,,,,"13,325","68,448","9,730","91,503","13,325","68,448","9,730","91,503","183,006","172,818",0,,,
3434,TQY,Torquay,South West,Torbay,Torbay,UKK4,Devon,First Great Western,,,,,"15,450","155,328","14,665","185,443","15,450","155,328","14,665","185,443","370,886","341,916",970,,,
3432,TRR,Torre,South West,Torbay,Torbay,UKK4,Devon,First Great Western,,,,,"10,181","30,279","32,279","72,739","10,181","30,279","32,279","72,739","145,478","133,619",0,,,
3558,TOT,Totnes,South West,Devon,South Hams,UKK4,Devon,First Great Western,,,,,"27,748","219,874","22,986","270,608","27,748","219,874","22,986","270,608","541,216","484,465",0,,,
