 RODS report3h created at 13:28:09 on 29-03-2017,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,
Originating National Rail/DLR stations,,,,,,,,,,,,
,,,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Day
Arrivals at,,to line/direction,,from NR/DLR Origin,,    - 7am ,  7am-10am,  10am-4pm,  4pm-7pm ,  7pm-10pm,  10pm+   ,total
511,Baker Street                  ,Jubilee        ,S,3051,Gerrards Cross                ,0,40,0,0,0,0,41
511,Baker Street                  ,Jubilee        ,S,3054,High Wycombe                  ,34,167,25,0,0,0,226
511,Baker Street                  ,Jubilee        ,S,4502,Banbury                       ,3,9,0,0,0,0,12
511,Baker Street                  ,Jubilee        ,S,3053,Haddenham & Tme Pky           ,8,30,32,0,0,0,69
511,Baker Street                  ,Jubilee        ,S,1492,Aylesbury                     ,16,80,4,0,0,0,99
511,Baker Street                  ,Jubilee        ,S,1466,Wendover                      ,3,3,0,0,0,0,7
511,Baker Street                  ,Jubilee        ,S,1467,Stoke Mandeville              ,24,30,0,0,0,0,54
511,Baker Street                  ,Jubilee        ,S,3047,Beaconsfield                  ,5,32,4,0,0,0,41
511,Baker Street                  ,Jubilee        ,S,3104,Bicester Town                 ,3,5,0,0,0,0,9
511,Baker Street                  ,Jubilee        ,S,4597,Leamington Spa                ,20,4,40,0,0,0,63
511,Baker Street                  ,Jubilee        ,S,1463,Great Missenden               ,2,16,0,0,0,0,18
511,Baker Street                  ,Jubilee        ,S,1478,Northolt Park                 ,0,3,0,0,0,0,3
511,Baker Street                  ,Jubilee        ,S,3055,Princes Risborough            ,0,16,0,0,0,0,16
511,Baker Street                  ,Jubilee        ,S,4600,Warwick                       ,0,61,110,0,0,0,171
511,Baker Street                  ,Jubilee        ,S,4527,Solihull                      ,0,21,0,0,0,0,21
511,Baker Street                  ,Metropolitan   ,N,0,Not stated                    ,0,0,0,19,6,0,25
511,Baker Street                  ,Metropolitan   ,S,3053,Haddenham & Tme Pky           ,4,3,0,0,0,0,7
511,Baker Street                  ,Metropolitan   ,S,0,Not stated                    ,61,441,18,89,0,0,610
511,Baker Street                  ,Metropolitan   ,S,4502,Banbury                       ,6,12,10,0,0,0,28
511,Baker Street                  ,Metropolitan   ,S,4597,Leamington Spa                ,0,10,0,0,0,0,11
511,Baker Street                  ,Metropolitan   ,S,3104,Bicester Town                 ,3,21,0,0,0,0,24
511,Baker Street                  ,Metropolitan   ,S,3054,High Wycombe                  ,31,617,0,0,0,0,648
511,Baker Street                  ,Metropolitan   ,S,1492,Aylesbury                     ,0,32,0,0,0,0,32
511,Baker Street                  ,Metropolitan   ,S,1466,Wendover                      ,0,17,0,0,0,0,17
511,Baker Street                  ,Metropolitan   ,S,3047,Beaconsfield                  ,0,43,0,0,0,0,43
511,Baker Street                  ,Metropolitan   ,S,4527,Solihull                      ,0,62,0,0,0,0,62
511,Baker Street                  ,Metropolitan   ,S,1463,Great Missenden               ,0,35,0,0,0,0,35
511,Baker Street                  ,Metropolitan   ,S,1478,Northolt Park                 ,0,9,0,38,0,0,46
512,Balham                        ,Northern       ,N,5434,Selhurst                      ,1,52,31,0,0,0,84
512,Balham                        ,Northern       ,N,5376,Norwood Junction              ,6,18,1,0,0,0,25
512,Balham                        ,Northern       ,N,5428,Norbury                       ,8,284,35,29,27,26,409
512,Balham                        ,Northern       ,N,5435,Streatham Hill                ,20,53,6,18,29,6,131
512,Balham                        ,Northern       ,N,5356,Crystal Palace                ,20,68,0,0,0,9,96
512,Balham                        ,Northern       ,N,5388,Thornton Heath                ,46,200,49,0,21,46,362
512,Balham                        ,Northern       ,N,5576,Wandsworth Town               ,0,7,0,0,0,0,7
512,Balham                        ,Northern       ,N,5384,Streatham Common              ,13,351,128,106,0,55,653
512,Balham                        ,Northern       ,N,5394,Wallington                    ,1,21,41,0,0,0,63
512,Balham                        ,Northern       ,N,5385,Sutton                        ,4,106,119,2,9,0,241
512,Balham                        ,Northern       ,N,5395,Wandsworth Common             ,0,18,24,0,15,0,56
512,Balham                        ,Northern       ,N,5364,Hackbridge                    ,0,18,40,0,0,0,59
512,Balham                        ,Northern       ,N,0,Not stated                    ,0,87,0,0,0,0,87
512,Balham                        ,Northern       ,N,5411,West Croydon                  ,18,102,33,6,0,0,160
512,Balham                        ,Northern       ,N,5419,Kenley                        ,0,0,28,0,0,0,28
512,Balham                        ,Northern       ,N,5355,East Croydon                  ,0,0,70,0,3,19,92
512,Balham                        ,Northern       ,N,5426,Victoria Br London            ,0,46,0,0,1,0,47
512,Balham                        ,Northern       ,N,5551,Barnes                        ,0,0,5,0,0,0,5
512,Balham                        ,Northern       ,N,5363,Gipsy Hill                    ,7,15,14,77,0,0,113
512,Balham                        ,Northern       ,N,5595,Clapham Junction              ,0,0,0,130,0,4,135
512,Balham                        ,Northern       ,N,5427,Mitcham Junction              ,0,0,0,7,0,0,7
512,Balham                        ,Northern       ,N,5405,Carshalton                    ,0,8,0,29,0,0,36
512,Balham                        ,Northern       ,N,5379,Purley                        ,0,0,5,105,0,0,110
512,Balham                        ,Northern       ,N,5571,Surbiton                      ,0,0,0,17,0,0,17
512,Balham                        ,Northern       ,N,5392,Waddon                        ,0,0,3,0,18,0,21
