 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
Journeys Entering from NR/DLR,,,,,,,,,,,
Entry Station,,Period,,Total,To Zone 1,2,3,4,5,6,7
710,South Ruislip                 ,PM Peak     ,All     ,402,214,112,41,31,1,3,0
710,South Ruislip                 ,Evening     ,All     ,99,43,37,0,0,12,8,0
710,South Ruislip                 ,Late        ,All     ,33,29,4,0,0,0,0,0
784,Southwark                     ,Early       ,NR      ,491,194,285,3,0,4,5,0
784,Southwark                     ,Early       ,All     ,639,246,366,3,15,4,5,0
784,Southwark                     ,AM peak     ,NR      ,4535,2387,1957,72,43,46,31,0
784,Southwark                     ,AM peak     ,All     ,6960,3540,3074,141,114,54,38,0
784,Southwark                     ,Midday      ,NR      ,881,445,368,17,17,11,24,0
784,Southwark                     ,Midday      ,All     ,6707,3387,2474,217,230,269,48,82
784,Southwark                     ,PM Peak     ,NR      ,929,505,286,92,1,45,0,0
784,Southwark                     ,PM Peak     ,All     ,11654,3311,5374,1152,1114,289,301,113
784,Southwark                     ,Evening     ,NR      ,194,71,97,0,0,0,26,0
784,Southwark                     ,Evening     ,All     ,3069,741,1789,245,118,142,34,0
784,Southwark                     ,Late        ,All     ,1055,161,687,62,73,59,12,0
717,Stonebridge Park              ,Early       ,NR      ,2,2,0,0,0,0,0,0
717,Stonebridge Park              ,Early       ,All     ,444,298,107,25,13,0,0,0
717,Stonebridge Park              ,AM peak     ,NR      ,24,24,0,0,0,0,0,0
717,Stonebridge Park              ,AM peak     ,All     ,1165,537,521,39,62,6,0,0
717,Stonebridge Park              ,Midday      ,All     ,889,638,87,93,64,7,0,0
717,Stonebridge Park              ,PM Peak     ,NR      ,14,0,0,0,14,0,0,0
717,Stonebridge Park              ,PM Peak     ,All     ,677,181,414,5,73,4,0,0
717,Stonebridge Park              ,Evening     ,All     ,287,13,221,15,0,37,0,0
717,Stonebridge Park              ,Late        ,All     ,82,32,48,0,2,0,0,0
719,Stratford                     ,Early       ,NR      ,1506,539,732,132,97,7,0,0
719,Stratford                     ,Early       ,DLR     ,138,23,115,0,0,0,0,0
719,Stratford                     ,Early       ,All     ,7139,2764,3347,461,201,188,179,0
719,Stratford                     ,AM peak     ,NR      ,20060,8836,10153,494,539,38,0,0
719,Stratford                     ,AM peak     ,DLR     ,922,217,651,17,25,0,11,0
719,Stratford                     ,AM peak     ,All     ,40655,20968,16391,1476,1383,315,122,0
719,Stratford                     ,Midday      ,NR      ,8584,3713,3582,336,725,46,183,0
719,Stratford                     ,Midday      ,DLR     ,2670,1479,708,0,376,0,106,0
719,Stratford                     ,Midday      ,All     ,34378,14547,12676,2059,3621,489,984,2
719,Stratford                     ,PM Peak     ,NR      ,5848,1552,1969,1236,658,48,386,0
719,Stratford                     ,PM Peak     ,DLR     ,951,235,100,129,277,56,154,0
719,Stratford                     ,PM Peak     ,All     ,35659,10991,12082,5529,4626,1633,785,13
719,Stratford                     ,Evening     ,NR      ,3653,433,2320,457,281,0,162,0
719,Stratford                     ,Evening     ,DLR     ,221,0,24,0,196,0,0,0
719,Stratford                     ,Evening     ,All     ,15563,2652,6092,2725,2767,981,347,0
719,Stratford                     ,Late        ,NR      ,674,201,302,44,128,0,0,0
719,Stratford                     ,Late        ,DLR     ,112,0,74,0,0,0,37,0
719,Stratford                     ,Late        ,All     ,4465,804,2168,299,900,204,83,7
720,Sudbury Hill                  ,Early       ,All     ,527,127,13,146,42,33,166,0
720,Sudbury Hill                  ,AM peak     ,NR      ,1,0,0,1,0,0,0,0
720,Sudbury Hill                  ,AM peak     ,All     ,1343,364,233,312,132,87,215,0
720,Sudbury Hill                  ,Midday      ,All     ,652,219,79,115,146,79,14,0
720,Sudbury Hill                  ,PM Peak     ,All     ,413,100,96,88,60,32,33,4
720,Sudbury Hill                  ,Evening     ,All     ,148,9,14,72,3,0,49,0
720,Sudbury Hill                  ,Late        ,All     ,32,0,0,15,0,0,17,0
721,Sudbury Town                  ,Early       ,All     ,491,199,121,109,41,12,8,0
721,Sudbury Town                  ,AM peak     ,NR      ,12,12,0,0,0,0,0,0
721,Sudbury Town                  ,AM peak     ,All     ,1553,511,472,416,57,58,39,0
721,Sudbury Town                  ,Midday      ,All     ,724,194,88,191,30,127,93,0
721,Sudbury Town                  ,PM Peak     ,All     ,429,53,85,109,23,138,22,0
721,Sudbury Town                  ,Evening     ,All     ,159,17,23,71,0,31,16,0
721,Sudbury Town                  ,Late        ,All     ,45,0,0,35,0,0,10,0
729,Tottenham Hale                ,Early       ,NR      ,806,527,170,97,0,12,0,0
729,Tottenham Hale                ,Early       ,All     ,1485,939,346,131,14,34,20,0
729,Tottenham Hale                ,AM peak     ,NR      ,5240,3657,1236,237,78,19,13,0
729,Tottenham Hale                ,AM peak     ,All     ,8817,5799,2187,560,176,64,31,0
729,Tottenham Hale                ,Midday      ,NR      ,2541,1878,431,210,1,21,0,0
729,Tottenham Hale                ,Midday      ,All     ,5196,2939,1086,1063,79,29,0,0
729,Tottenham Hale                ,PM Peak     ,NR      ,1737,756,717,260,3,0,0,0
729,Tottenham Hale                ,PM Peak     ,All     ,3473,1388,1170,811,72,12,0,20
729,Tottenham Hale                ,Evening     ,NR      ,913,125,559,147,47,34,0,0
729,Tottenham Hale                ,Evening     ,All     ,1621,398,706,395,77,45,0,0
729,Tottenham Hale                ,Late        ,NR      ,267,76,12,178,0,0,0,0
729,Tottenham Hale                ,Late        ,All     ,471,196,22,200,53,0,0,0
731,Tower Hill                    ,Early       ,NR      ,884,806,54,4,19,2,0,0
731,Tower Hill                    ,Early       ,DLR     ,37,37,0,0,0,0,0,0
731,Tower Hill                    ,Early       ,All     ,1218,1025,115,29,24,2,23,0
731,Tower Hill                    ,AM peak     ,NR      ,5571,4906,512,83,54,15,0,0
731,Tower Hill                    ,AM peak     ,DLR     ,587,573,11,0,3,0,0,0
731,Tower Hill                    ,AM peak     ,All     ,8698,7568,836,133,90,22,50,0
731,Tower Hill                    ,Midday      ,NR      ,2711,2553,104,17,9,28,0,0
731,Tower Hill                    ,Midday      ,DLR     ,378,360,0,18,0,0,0,0
731,Tower Hill                    ,Midday      ,All     ,9021,7255,1065,284,219,181,16,1
731,Tower Hill                    ,PM Peak     ,NR      ,340,312,2,6,21,0,0,0
731,Tower Hill                    ,PM Peak     ,DLR     ,433,333,8,0,0,0,92,0
731,Tower Hill                    ,PM Peak     ,All     ,10483,6175,1886,1201,498,233,435,57
731,Tower Hill                    ,Evening     ,NR      ,75,43,32,0,0,0,0,0
731,Tower Hill                    ,Evening     ,DLR     ,11,11,0,0,0,0,0,0
731,Tower Hill                    ,Evening     ,All     ,2990,1277,942,320,378,60,13,0
731,Tower Hill                    ,Late        ,NR      ,88,50,37,0,0,0,0,0
731,Tower Hill                    ,Late        ,DLR     ,3,3,0,0,0,0,0,0
731,Tower Hill                    ,Late        ,All     ,1114,389,433,73,114,78,27,0
736,Upminster                     ,Early       ,NR      ,0,0,0,0,0,0,0,0
736,Upminster                     ,Early       ,All     ,485,291,133,21,40,0,0,0
736,Upminster                     ,AM peak     ,NR      ,346,65,3,31,1,90,157,0
736,Upminster                     ,AM peak     ,All     ,1523,610,242,163,210,121,177,0
736,Upminster                     ,Midday      ,NR      ,126,126,0,0,0,0,0,0
736,Upminster                     ,Midday      ,All     ,869,415,97,50,129,113,65,0
736,Upminster                     ,PM Peak     ,NR      ,724,50,0,0,12,28,634,0
736,Upminster                     ,PM Peak     ,All     ,1449,170,72,24,187,162,834,0
736,Upminster                     ,Evening     ,NR      ,96,16,9,0,0,0,71,0
736,Upminster                     ,Evening     ,All     ,372,35,61,0,105,92,78,0
736,Upminster                     ,Late        ,NR      ,115,41,8,0,0,0,66,0
736,Upminster                     ,Late        ,All     ,248,41,8,0,48,4,147,0
777,Vauxhall                      ,Early       ,NR      ,1077,639,263,147,13,14,2,0
777,Vauxhall                      ,Early       ,All     ,1631,895,430,252,34,16,4,0
777,Vauxhall                      ,AM peak     ,NR      ,9115,7029,1467,451,107,46,15,0
777,Vauxhall                      ,AM peak     ,All     ,16715,11485,3462,1277,336,120,34,0
777,Vauxhall                      ,Midday      ,NR      ,4798,3526,678,534,60,0,0,0
777,Vauxhall                      ,Midday      ,All     ,11906,7667,2282,1380,462,56,57,2
777,Vauxhall                      ,PM Peak     ,NR      ,4714,2101,1451,1058,33,71,0,0
777,Vauxhall                      ,PM Peak     ,All     ,15957,5628,4782,4061,727,516,231,12
777,Vauxhall                      ,Evening     ,NR      ,1925,580,874,376,7,88,0,0
777,Vauxhall                      ,Evening     ,All     ,4413,1225,1623,1116,350,92,7,0
777,Vauxhall                      ,Late        ,NR      ,507,212,134,146,15,0,0,0
777,Vauxhall                      ,Late        ,All     ,1396,317,641,404,21,12,0,0
741,Victoria                      ,Early       ,NR      ,2811,1800,603,233,126,30,11,7
741,Victoria                      ,Early       ,All     ,3427,2065,876,290,132,44,12,7
741,Victoria                      ,AM peak     ,NR      ,25192,17428,5835,1320,360,121,96,34
741,Victoria                      ,AM peak     ,All     ,32250,21606,7952,1792,505,228,133,34
741,Victoria                      ,Midday      ,NR      ,18278,13020,3120,1335,455,142,175,32
741,Victoria                      ,Midday      ,All     ,38075,24484,8187,3410,1080,404,477,32
741,Victoria                      ,PM Peak     ,NR      ,6943,3798,1461,975,308,86,315,0
741,Victoria                      ,PM Peak     ,All     ,29930,12884,8538,4923,2175,743,610,56
741,Victoria                      ,Evening     ,NR      ,2802,1324,741,478,96,131,32,0
741,Victoria                      ,Evening     ,All     ,13260,4894,4776,2204,761,410,194,20
741,Victoria                      ,Late        ,NR      ,924,488,181,227,28,0,0,0
741,Victoria                      ,Late        ,All     ,5734,1954,2129,1145,325,175,2,4
742,Walthamstow Central           ,Early       ,NR      ,1254,723,318,213,0,0,0,0
742,Walthamstow Central           ,Early       ,All     ,5675,3217,1641,659,120,29,9,0
742,Walthamstow Central           ,AM peak     ,NR      ,1335,940,311,71,1,0,12,0
742,Walthamstow Central           ,AM peak     ,All     ,12173,6994,3689,1200,172,106,12,0
742,Walthamstow Central           ,Midday      ,NR      ,783,254,109,397,0,0,24,0
742,Walthamstow Central           ,Midday      ,All     ,6659,3306,1582,1241,171,228,131,0
742,Walthamstow Central           ,PM Peak     ,NR      ,279,134,139,6,0,0,0,0
742,Walthamstow Central           ,PM Peak     ,All     ,3459,1122,1187,881,46,224,0,0
742,Walthamstow Central           ,Evening     ,NR      ,56,0,3,53,0,0,0,0
742,Walthamstow Central           ,Evening     ,All     ,1096,440,283,336,23,15,0,0
742,Walthamstow Central           ,Late        ,All     ,357,61,178,98,0,19,0,0
747,Waterloo                      ,Early       ,NR      ,3533,2551,896,10,46,14,6,10
747,Waterloo                      ,Early       ,All     ,4141,2787,1111,77,90,52,15,10
747,Waterloo                      ,AM peak     ,NR      ,54218,40039,12895,517,421,170,149,26
747,Waterloo                      ,AM peak     ,All     ,61108,43937,15149,919,625,266,185,26
747,Waterloo                      ,Midday      ,NR      ,24306,15129,7484,574,516,349,215,38
747,Waterloo                      ,Midday      ,All     ,33304,19156,10559,1604,1191,476,280,38
747,Waterloo                      ,PM Peak     ,NR      ,12895,5789,5302,681,735,246,139,4
747,Waterloo                      ,PM Peak     ,All     ,28518,9599,12492,2658,2827,590,286,67
747,Waterloo                      ,Evening     ,NR      ,3977,1275,1721,607,296,59,18,0
747,Waterloo                      ,Evening     ,All     ,12260,2484,6405,2286,801,178,93,14
747,Waterloo                      ,Late        ,NR      ,772,317,262,124,66,2,1,0
747,Waterloo                      ,Late        ,All     ,5783,1745,3000,750,166,85,15,22
751,Wembley Central               ,Early       ,All     ,734,441,215,70,8,0,0,0
751,Wembley Central               ,AM peak     ,NR      ,8,2,0,6,0,0,0,0
751,Wembley Central               ,AM peak     ,All     ,1882,1287,271,179,141,2,0,0
751,Wembley Central               ,Midday      ,NR      ,40,7,34,0,0,0,0,0
751,Wembley Central               ,Midday      ,All     ,1717,704,664,273,69,6,0,0
751,Wembley Central               ,PM Peak     ,NR      ,73,38,34,0,0,0,0,0
751,Wembley Central               ,PM Peak     ,All     ,1065,346,56,122,127,415,0,0
751,Wembley Central               ,Evening     ,NR      ,40,0,40,0,0,0,0,0
751,Wembley Central               ,Evening     ,All     ,577,101,82,150,17,197,30,0
751,Wembley Central               ,Late        ,All     ,329,72,76,10,46,125,0,0
755,West Brompton                 ,Early       ,NR      ,26,1,10,15,0,0,0,0
755,West Brompton                 ,Early       ,All     ,54,29,10,15,0,0,0,0
755,West Brompton                 ,AM peak     ,NR      ,489,179,229,36,40,0,3,0
755,West Brompton                 ,AM peak     ,All     ,1134,671,334,69,40,16,3,0
755,West Brompton                 ,Midday      ,NR      ,390,315,49,26,0,0,0,0
755,West Brompton                 ,Midday      ,All     ,2366,1556,298,371,36,91,0,14
755,West Brompton                 ,PM Peak     ,NR      ,562,233,108,167,0,53,0,0
755,West Brompton                 ,PM Peak     ,All     ,2065,709,398,496,222,210,19,12
755,West Brompton                 ,Evening     ,NR      ,145,57,0,83,5,0,0,0
755,West Brompton                 ,Evening     ,All     ,619,242,124,205,30,18,0,0
755,West Brompton                 ,Late        ,NR      ,38,19,0,16,3,0,0,0
755,West Brompton                 ,Late        ,All     ,228,41,136,49,3,0,0,0
757,West Ham                      ,Early       ,NR      ,604,181,414,1,7,0,0,0
757,West Ham                      ,Early       ,DLR     ,303,49,107,0,82,63,2,0
757,West Ham                      ,Early       ,All     ,1506,504,742,100,95,63,2,0
757,West Ham                      ,AM peak     ,NR      ,2731,548,2017,4,132,6,25,0
757,West Ham                      ,AM peak     ,DLR     ,913,264,339,106,111,70,23,0
757,West Ham                      ,AM peak     ,All     ,5611,1623,3263,213,329,91,93,0
757,West Ham                      ,Midday      ,NR      ,1210,275,761,70,101,0,1,0
757,West Ham                      ,Midday      ,DLR     ,654,337,273,0,43,0,0,0
757,West Ham                      ,Midday      ,All     ,3131,899,1522,398,219,59,33,0
757,West Ham                      ,PM Peak     ,NR      ,876,277,363,118,38,1,80,0
757,West Ham                      ,PM Peak     ,DLR     ,348,86,76,66,119,0,1,0
757,West Ham                      ,PM Peak     ,All     ,2151,607,801,264,319,32,128,0
757,West Ham                      ,Evening     ,NR      ,434,104,253,66,7,3,0,0
757,West Ham                      ,Evening     ,DLR     ,215,0,0,97,54,35,29,0
757,West Ham                      ,Evening     ,All     ,1284,208,689,167,109,40,71,0
757,West Ham                      ,Late        ,NR      ,120,0,92,22,5,0,0,0
757,West Ham                      ,Late        ,DLR     ,44,0,0,0,44,0,0,0
757,West Ham                      ,Late        ,All     ,291,0,199,22,53,0,16,0
758,West Hampstead                ,Early       ,NR      ,211,111,42,12,30,16,0,0
758,West Hampstead                ,Early       ,All     ,711,412,163,16,42,44,34,0
758,West Hampstead                ,AM peak     ,NR      ,1874,993,589,62,88,141,0,0
758,West Hampstead                ,AM peak     ,All     ,7870,5509,1543,236,237,152,192,0
758,West Hampstead                ,Midday      ,NR      ,410,283,40,59,0,13,15,0
758,West Hampstead                ,Midday      ,All     ,3468,1951,1145,145,63,136,29,0
758,West Hampstead                ,PM Peak     ,NR      ,752,287,227,81,64,93,0,0
758,West Hampstead                ,PM Peak     ,All     ,3936,1570,1009,438,663,159,97,0
758,West Hampstead                ,Evening     ,NR      ,137,38,27,0,0,72,0,0
758,West Hampstead                ,Evening     ,All     ,1286,571,277,102,61,276,0,0
758,West Hampstead                ,Late        ,NR      ,57,20,33,4,0,0,0,0
758,West Hampstead                ,Late        ,All     ,441,154,258,8,21,0,0,0
762,West Ruislip                  ,Early       ,All     ,251,155,92,0,3,0,0,0
762,West Ruislip                  ,AM peak     ,NR      ,18,0,9,5,4,0,0,0
762,West Ruislip                  ,AM peak     ,All     ,1185,840,273,27,8,36,0,0
762,West Ruislip                  ,Midday      ,NR      ,11,0,11,0,0,0,0,0
762,West Ruislip                  ,Midday      ,All     ,492,152,225,3,23,90,0,0
762,West Ruislip                  ,PM Peak     ,NR      ,16,0,16,0,0,0,0,0
762,West Ruislip                  ,PM Peak     ,All     ,339,176,106,0,41,16,0,0
762,West Ruislip                  ,Evening     ,All     ,104,16,5,36,2,44,0,0
762,West Ruislip                  ,Late        ,All     ,32,6,4,3,11,8,0,0
763,Whitechapel                   ,Early       ,NR      ,846,412,149,145,90,0,50,0
763,Whitechapel                   ,Early       ,All     ,1252,645,230,172,144,7,54,0
763,Whitechapel                   ,AM peak     ,NR      ,3467,2355,603,270,170,4,65,0
763,Whitechapel                   ,AM peak     ,All     ,6470,4379,1132,472,345,31,111,0
763,Whitechapel                   ,Midday      ,NR      ,3840,2050,948,420,225,0,197,0
763,Whitechapel                   ,Midday      ,All     ,9750,4342,2155,1601,1378,31,244,0
763,Whitechapel                   ,PM Peak     ,NR      ,5704,3400,1285,700,78,88,153,0
763,Whitechapel                   ,PM Peak     ,All     ,14072,5860,4607,1793,1319,114,378,0
763,Whitechapel                   ,Evening     ,NR      ,2443,1397,590,411,0,0,46,0
763,Whitechapel                   ,Evening     ,All     ,6234,2303,2137,1031,519,187,57,0
763,Whitechapel                   ,Late        ,NR      ,668,113,367,94,0,0,95,0
763,Whitechapel                   ,Late        ,All     ,1561,228,660,308,249,0,116,0
766,Willesden Junction            ,Early       ,NR      ,94,4,21,33,2,34,0,0
766,Willesden Junction            ,Early       ,All     ,481,114,173,80,58,56,0,0
766,Willesden Junction            ,AM peak     ,NR      ,1326,347,327,168,293,192,0,0
766,Willesden Junction            ,AM peak     ,All     ,2562,984,517,222,471,367,0,0
766,Willesden Junction            ,Midday      ,NR      ,1072,313,302,111,205,139,0,0
766,Willesden Junction            ,Midday      ,All     ,2789,1371,623,210,254,330,1,0
766,Willesden Junction            ,PM Peak     ,NR      ,1707,0,7,151,604,946,0,0
766,Willesden Junction            ,PM Peak     ,All     ,3281,350,283,376,979,1251,42,0
766,Willesden Junction            ,Evening     ,NR      ,542,89,136,120,187,9,0,0
766,Willesden Junction            ,Evening     ,All     ,1643,474,212,310,378,264,0,5
766,Willesden Junction            ,Late        ,NR      ,162,0,1,39,108,13,0,0
766,Willesden Junction            ,Late        ,All     ,495,0,97,131,146,121,0,0
767,Wimbledon                     ,Early       ,NR      ,741,170,376,174,13,5,1,0
767,Wimbledon                     ,Early       ,All     ,1830,648,845,251,13,18,54,0
767,Wimbledon                     ,AM peak     ,NR      ,2799,870,1327,580,5,9,8,0
767,Wimbledon                     ,AM peak     ,All     ,6717,2561,2823,1167,61,26,80,0
767,Wimbledon                     ,Midday      ,NR      ,1141,468,310,339,0,0,24,0
767,Wimbledon                     ,Midday      ,All     ,4135,1713,1199,1072,68,0,83,0
767,Wimbledon                     ,PM Peak     ,NR      ,1833,430,866,463,0,12,63,0
767,Wimbledon                     ,PM Peak     ,All     ,4701,1109,1686,1290,150,337,129,0
767,Wimbledon                     ,Evening     ,NR      ,404,44,171,190,0,0,0,0
767,Wimbledon                     ,Evening     ,All     ,1135,151,442,511,31,0,0,0
767,Wimbledon                     ,Late        ,NR      ,126,9,4,113,0,0,0,0
767,Wimbledon                     ,Late        ,All     ,401,45,167,190,0,0,0,0
