 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
Journeys Entering from NR/DLR,,,,,,,,,,,
Entry Station,,Period,,Total,To Zone 1,2,3,4,5,6,7
522,Blackhorse Road               ,Early       ,All     ,1786,1112,307,226,139,2,0,0
522,Blackhorse Road               ,AM peak     ,NR      ,881,34,544,287,16,0,0,0
522,Blackhorse Road               ,AM peak     ,All     ,6586,3565,1726,961,323,11,0,0
522,Blackhorse Road               ,Midday      ,NR      ,490,244,245,0,0,0,0,0
522,Blackhorse Road               ,Midday      ,All     ,2975,1432,859,546,56,82,0,0
522,Blackhorse Road               ,PM Peak     ,NR      ,316,0,236,70,10,0,0,0
522,Blackhorse Road               ,PM Peak     ,All     ,1634,555,676,311,76,16,0,0
522,Blackhorse Road               ,Evening     ,NR      ,33,0,0,33,0,0,0,0
522,Blackhorse Road               ,Evening     ,All     ,494,165,134,183,12,0,0,0
522,Blackhorse Road               ,Late        ,NR      ,3,0,0,3,0,0,0,0
522,Blackhorse Road               ,Late        ,All     ,97,17,74,6,0,0,0,0
528,Bow Road                      ,Early       ,DLR     ,17,12,0,0,0,5,0,0
528,Bow Road                      ,Early       ,All     ,549,398,62,9,0,37,43,0
528,Bow Road                      ,AM peak     ,DLR     ,71,30,0,6,12,23,0,0
528,Bow Road                      ,AM peak     ,All     ,4185,2525,1313,62,190,32,63,0
528,Bow Road                      ,Midday      ,DLR     ,235,72,87,0,57,0,19,0
528,Bow Road                      ,Midday      ,All     ,2285,1152,551,343,154,48,36,0
528,Bow Road                      ,PM Peak     ,DLR     ,13,0,0,12,0,1,0,0
528,Bow Road                      ,PM Peak     ,All     ,1456,484,625,163,100,27,56,0
528,Bow Road                      ,Evening     ,DLR     ,53,0,49,0,0,2,1,0
528,Bow Road                      ,Evening     ,All     ,534,175,237,55,41,4,23,0
528,Bow Road                      ,Late        ,DLR     ,8,0,8,0,0,0,0,0
528,Bow Road                      ,Late        ,All     ,177,145,20,4,2,6,0,0
778,Brixton                       ,Early       ,NR      ,169,117,7,46,0,0,0,0
778,Brixton                       ,Early       ,All     ,3199,2378,479,227,45,28,35,7
778,Brixton                       ,AM peak     ,NR      ,877,692,118,63,3,0,0,0
778,Brixton                       ,AM peak     ,All     ,24751,18237,4751,1075,415,105,82,86
778,Brixton                       ,Midday      ,NR      ,190,169,7,14,0,0,0,0
778,Brixton                       ,Midday      ,All     ,10592,7082,2331,819,301,42,17,0
778,Brixton                       ,PM Peak     ,NR      ,79,25,45,9,0,0,0,0
778,Brixton                       ,PM Peak     ,All     ,7225,3810,1633,1438,195,56,94,0
778,Brixton                       ,Evening     ,NR      ,64,16,11,38,0,0,0,0
778,Brixton                       ,Evening     ,All     ,3103,1296,890,557,278,30,50,0
778,Brixton                       ,Late        ,NR      ,118,95,0,23,0,0,0,0
778,Brixton                       ,Late        ,All     ,3614,1474,1298,525,195,94,28,0
535,Camden Town                   ,Early       ,NR      ,31,0,0,10,21,0,0,0
535,Camden Town                   ,Early       ,All     ,392,252,33,31,28,48,0,0
535,Camden Town                   ,AM peak     ,NR      ,295,68,46,77,85,19,0,0
535,Camden Town                   ,AM peak     ,All     ,3520,2156,667,291,301,105,0,0
535,Camden Town                   ,Midday      ,NR      ,486,225,76,153,23,9,0,0
535,Camden Town                   ,Midday      ,All     ,9067,6375,994,1148,348,84,104,14
535,Camden Town                   ,PM Peak     ,NR      ,379,27,122,148,81,2,0,0
535,Camden Town                   ,PM Peak     ,All     ,10109,5221,1425,1791,1269,398,5,0
535,Camden Town                   ,Evening     ,NR      ,78,39,0,38,0,1,0,0
535,Camden Town                   ,Evening     ,All     ,3952,1600,905,1017,254,154,0,22
535,Camden Town                   ,Late        ,NR      ,86,0,1,0,86,0,0,0
535,Camden Town                   ,Late        ,All     ,3495,1399,924,730,384,24,29,5
788,Canada Water                  ,Early       ,NR      ,1616,801,769,19,12,15,0,0
788,Canada Water                  ,Early       ,All     ,2672,1633,896,64,34,42,4,0
788,Canada Water                  ,AM peak     ,NR      ,25912,15250,10193,310,76,47,36,0
788,Canada Water                  ,AM peak     ,All     ,32055,19672,11377,573,185,114,135,0
788,Canada Water                  ,Midday      ,NR      ,14413,8270,5638,264,131,47,8,55
788,Canada Water                  ,Midday      ,All     ,18166,10636,6639,423,221,160,32,55
788,Canada Water                  ,PM Peak     ,NR      ,10452,4268,4414,994,714,3,60,0
788,Canada Water                  ,PM Peak     ,All     ,13569,6133,5269,1106,929,12,120,0
788,Canada Water                  ,Evening     ,NR      ,5375,1929,2761,504,76,106,0,0
788,Canada Water                  ,Evening     ,All     ,6705,2441,3322,647,189,106,0,0
788,Canada Water                  ,Late        ,NR      ,1561,492,823,232,0,13,0,0
788,Canada Water                  ,Late        ,All     ,2045,622,1178,232,0,13,0,0
852,Canary Wharf                  ,Early       ,DLR     ,220,110,81,14,7,8,0,0
852,Canary Wharf                  ,Early       ,All     ,1149,464,558,90,23,13,0,0
852,Canary Wharf                  ,AM peak     ,DLR     ,2265,1438,763,21,18,23,2,0
852,Canary Wharf                  ,AM peak     ,All     ,8821,5561,2798,215,81,70,96,0
852,Canary Wharf                  ,Midday      ,DLR     ,2702,1513,940,94,121,0,18,16
852,Canary Wharf                  ,Midday      ,All     ,15903,9424,4990,684,416,202,171,16
852,Canary Wharf                  ,PM Peak     ,DLR     ,3848,1694,1002,505,368,143,85,50
852,Canary Wharf                  ,PM Peak     ,All     ,48331,21192,18087,3071,2744,1965,1059,213
852,Canary Wharf                  ,Evening     ,DLR     ,949,291,414,112,86,46,0,0
852,Canary Wharf                  ,Evening     ,All     ,15625,6288,6841,968,743,544,231,9
852,Canary Wharf                  ,Late        ,DLR     ,161,145,6,0,0,0,10,0
852,Canary Wharf                  ,Late        ,All     ,3317,1120,1678,453,0,30,36,0
884,Canning Town                  ,Early       ,DLR     ,1503,539,757,177,12,18,0,0
884,Canning Town                  ,Early       ,All     ,4191,2492,1382,177,122,18,0,0
884,Canning Town                  ,AM peak     ,DLR     ,6535,2833,3060,357,185,95,5,0
884,Canning Town                  ,AM peak     ,All     ,12986,5909,6107,462,324,139,44,0
884,Canning Town                  ,Midday      ,DLR     ,6252,2058,3271,718,97,0,107,0
884,Canning Town                  ,Midday      ,All     ,10509,3925,5338,915,193,1,138,0
