 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,
Final National Rail/DLR stations,,,,,,,,,,
,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday
All departures from,,to NR/DLR Destination,, - 7am ,7am-10am,10am-4pm,4pm-7pm ,7pm-10pm,10pm+,total
512,Balham                        ,5576,Wandsworth Town               ,0,1,0,0,0,0,1
512,Balham                        ,1402,Watford Junction              ,3,11,0,0,0,0,14
512,Balham                        ,5411,West Croydon                  ,6,20,22,49,0,0,96
512,Balham                        ,5438,West Norwood                  ,0,5,49,33,2,0,89
512,Balham                        ,5278,West Worthing                 ,0,0,0,25,0,0,25
513,Bank / Monument               ,5131,Abbey Wood                    ,0,0,0,14,0,0,14
513,Bank / Monument               ,5623,Aldershot                     ,0,0,36,0,0,0,36
513,Bank / Monument               ,6025,Alexandra Palace              ,0,0,0,76,0,0,76
513,Bank / Monument               ,850,All Saints                    ,0,14,193,65,18,4,293
513,Bank / Monument               ,7494,Basildon                      ,0,0,0,7,0,0,7
513,Bank / Monument               ,5520,Basingstoke                   ,0,0,0,3,26,0,29
513,Bank / Monument               ,5215,Battle                        ,0,0,0,4,0,0,4
513,Bank / Monument               ,895,Beckton                       ,10,23,0,178,37,18,267
513,Bank / Monument               ,891,Beckton Park                  ,0,0,78,2,14,0,94
513,Bank / Monument               ,5062,Bellingham                    ,0,0,42,0,0,0,42
513,Bank / Monument               ,5092,Belvedere                     ,0,0,116,0,0,0,116
513,Bank / Monument               ,7439,Benfleet                      ,0,0,0,16,5,0,21
513,Bank / Monument               ,5094,Bexleyheath                   ,0,0,0,3,0,0,3
513,Bank / Monument               ,6871,Billericay                    ,0,0,0,1,0,0,1
513,Bank / Monument               ,5095,Blackheath                    ,0,0,0,2,0,0,2
513,Bank / Monument               ,882,Blackwall                     ,27,298,70,167,255,180,997
513,Bank / Monument               ,5552,Brentford                     ,10,29,0,0,4,0,43
513,Bank / Monument               ,5886,Brockenhurst                  ,0,0,19,0,0,0,19
513,Bank / Monument               ,5404,Brockley                      ,0,0,0,11,0,0,11
513,Bank / Monument               ,8051,Brough                        ,0,121,22,0,0,0,143
513,Bank / Monument               ,1395,Bushey                        ,0,0,0,10,0,0,10
513,Bank / Monument               ,5682,Camberley                     ,0,0,0,7,0,0,7
513,Bank / Monument               ,842,Canary Wharf - DLR            ,964,7831,3111,1109,432,79,13526
513,Bank / Monument               ,884,Canning Town                  ,0,0,0,0,0,0,0
513,Bank / Monument               ,1442,Carpenders Park               ,0,0,0,20,68,0,88
513,Bank / Monument               ,5406,Carshalton Beeches            ,0,0,0,9,0,0,9
513,Bank / Monument               ,5047,Catford Bridge                ,0,0,0,1,0,0,1
513,Bank / Monument               ,7447,Chafford Hundred              ,0,0,24,4,0,0,28
513,Bank / Monument               ,7469,Chalkwell                     ,0,0,1,2,0,0,3
513,Bank / Monument               ,5144,Charlton                      ,0,0,0,2,0,0,2
513,Bank / Monument               ,5199,Chatham                       ,0,0,0,5,0,0,5
513,Bank / Monument               ,6836,Chelmsford                    ,0,0,0,2,0,0,2
513,Bank / Monument               ,5582,Chessington North             ,0,0,0,10,0,0,10
513,Bank / Monument               ,5121,City Thameslink               ,0,0,0,4,0,0,4
513,Bank / Monument               ,5595,Clapham Junction              ,0,132,1,1,0,11,145
513,Bank / Monument               ,5556,Claygate                      ,0,0,0,0,3,0,3
513,Bank / Monument               ,5557,Cobham                        ,0,0,0,0,0,0,0
513,Bank / Monument               ,6861,Colchester                    ,0,0,3,76,0,0,79
513,Bank / Monument               ,5336,Cooksbridge                   ,0,1,0,0,0,0,1
513,Bank / Monument               ,854,Crossharbour                  ,36,217,366,379,257,110,1364
513,Bank / Monument               ,887,Custom House - DLR            ,12,292,248,16,18,0,587
513,Bank / Monument               ,6964,Custom House - NR             ,0,0,0,9,0,0,9
513,Bank / Monument               ,879,Cutty Sark                    ,24,580,1327,421,197,78,2627
513,Bank / Monument               ,893,Cyprus                        ,1,83,210,113,0,10,417
513,Bank / Monument               ,5145,Deptford                      ,0,0,48,0,1,0,49
513,Bank / Monument               ,897,Deptford Bridge               ,10,110,224,193,66,36,639
513,Bank / Monument               ,867,Devons Road                   ,0,24,0,7,3,0,35
513,Bank / Monument               ,6417,Doncaster                     ,0,0,5,0,0,0,5
513,Bank / Monument               ,5357,Dorking                       ,0,0,19,0,0,0,19
513,Bank / Monument               ,5584,Earlsfield                    ,0,0,0,24,0,0,24
513,Bank / Monument               ,5355,East Croydon                  ,0,0,0,6,0,0,6
513,Bank / Monument               ,5358,East Dulwich                  ,0,0,0,3,0,0,3
513,Bank / Monument               ,883,East India                    ,45,387,271,232,100,59,1093
513,Bank / Monument               ,5642,Effingham Junction            ,0,0,67,0,0,0,67
513,Bank / Monument               ,5669,Egham                         ,0,0,0,5,0,0,5
513,Bank / Monument               ,5049,Elmers End                    ,0,0,0,2,0,0,2
513,Bank / Monument               ,5135,Elmstead Woods                ,0,0,0,2,0,0,2
513,Bank / Monument               ,898,Elverson Road                 ,0,65,48,93,28,0,234
513,Bank / Monument               ,6959,Enfield Town                  ,0,0,9,0,0,0,9
513,Bank / Monument               ,5360,Epsom                         ,0,0,0,0,0,0,0
513,Bank / Monument               ,5104,Erith                         ,0,0,0,0,0,1,1
513,Bank / Monument               ,5558,Esher                         ,0,0,0,0,0,0,0
513,Bank / Monument               ,5586,Ewell West                    ,0,6,0,0,0,0,6
513,Bank / Monument               ,5137,Falconwood                    ,0,0,3,0,0,0,3
513,Bank / Monument               ,5900,Fareham                       ,0,0,14,4,0,0,19
513,Bank / Monument               ,5521,Farnborough Main              ,0,0,0,0,0,0,0
513,Bank / Monument               ,5545,Farnham                       ,0,0,0,0,0,0,0
513,Bank / Monument               ,5167,Faversham                     ,0,0,0,0,0,0,0
513,Bank / Monument               ,5559,Feltham                       ,0,0,0,21,0,0,21
513,Bank / Monument               ,6876,Forest Gate                   ,0,4,0,8,0,0,12
513,Bank / Monument               ,894,Gallions Reach                ,10,8,31,29,0,0,78
513,Bank / Monument               ,5169,Gillingham (Kent)             ,0,0,0,20,0,0,20
513,Bank / Monument               ,5172,Gravesend                     ,0,0,0,2,0,0,2
513,Bank / Monument               ,7443,Grays                         ,0,0,0,6,10,0,16
513,Bank / Monument               ,2900,Greenfield                    ,0,15,0,0,0,0,15
513,Bank / Monument               ,5146,Greenwich                     ,0,64,189,92,59,1,405
