NLC,Station,timePeriod,Total,Male,Female,Notstated,NotStated,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,,,,,,,,,
518,Becontree,Totalday,5834,1455,2247,2132,2124,0,144,390,757,491,1134,305,291,198,5834,0,0,0,0,0,0,0,0
519,BelsizePark,Early,231,0,0,231,231,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0
519,BelsizePark,AMpeak,3194,1453,1618,122,29,19,77,336,701,594,582,468,323,67,289,52,63,50,2715,0,0,6,19
519,BelsizePark,Midday,3120,1314,1721,85,89,0,44,167,299,742,979,117,275,407,182,271,22,0,2542,1,0,56,47
519,BelsizePark,PMPeak,3062,1191,1762,109,0,36,30,0,846,413,789,206,599,143,271,88,338,19,2322,0,0,22,2
519,BelsizePark,Evening,966,301,573,91,91,0,0,209,128,291,174,26,20,27,310,5,0,1,641,7,0,0,0
519,BelsizePark,Late,296,0,1,295,295,0,0,0,0,0,0,0,1,0,296,0,0,0,0,0,0,0,0
519,BelsizePark,Totalday,10868,4259,5675,933,735,55,151,712,1973,2041,2525,816,1217,644,1579,417,422,70,8221,8,0,83,68
787,Bermondsey,Early,866,0,0,866,866,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,0
787,Bermondsey,AMpeak,5881,2311,3366,204,48,0,99,897,2324,1120,1035,248,55,55,4322,0,2,0,1530,21,0,1,4
787,Bermondsey,Midday,3956,1701,2118,136,118,0,317,790,983,639,741,177,47,146,2976,43,3,6,922,4,0,0,0
787,Bermondsey,PMPeak,4361,2334,1857,171,357,0,171,758,1236,885,805,139,8,1,3200,15,9,0,1128,0,0,9,0
787,Bermondsey,Evening,1686,735,536,416,416,0,78,314,401,197,259,17,6,0,1373,0,0,0,313,0,0,0,0
787,Bermondsey,Late,579,110,226,244,244,0,0,48,215,62,10,0,0,0,523,0,0,0,56,0,0,0,0
787,Bermondsey,Totalday,17329,7190,8103,2036,2049,0,664,2807,5159,2903,2849,580,116,202,13261,58,14,6,3949,25,0,11,5
520,BethnalGreen,Early,839,17,57,765,765,0,0,5,48,18,1,0,2,0,839,0,0,0,0,0,0,0,0
520,BethnalGreen,AMpeak,6899,2330,3832,737,659,18,126,790,2451,1372,921,189,336,37,2714,56,30,12,4049,6,10,0,22
520,BethnalGreen,Midday,6628,1276,1619,3734,3594,0,112,228,900,469,663,335,206,121,4248,79,0,0,2225,0,0,0,76
520,BethnalGreen,PMPeak,5383,450,373,4560,4544,15,46,25,199,81,207,108,99,60,4559,2,0,0,792,29,0,0,1
520,BethnalGreen,Evening,2355,361,606,1388,1374,0,0,84,158,386,179,172,2,0,1530,0,50,0,775,0,0,0,0
520,BethnalGreen,Late,1082,384,111,588,588,0,0,71,218,27,74,105,0,0,798,0,0,0,284,0,0,0,0
520,BethnalGreen,Totalday,23186,4818,6597,11771,11524,32,283,1202,3975,2353,2045,909,645,218,14688,137,80,12,8125,35,10,0,100
521,Blackfriars,Early,313,0,0,313,313,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0
521,Blackfriars,AMpeak,5122,2745,2280,98,112,0,12,613,888,1052,1597,553,254,42,552,4,21,15,4430,27,13,47,13
521,Blackfriars,Midday,5586,2423,3021,142,145,0,48,352,1244,925,1744,406,593,129,1053,186,17,0,4309,11,0,0,10
521,Blackfriars,PMPeak,11530,5192,5899,439,577,0,88,956,2891,2337,3511,528,426,217,2447,29,100,80,8667,114,0,43,51
521,Blackfriars,Evening,4146,1816,2315,15,21,0,0,272,1760,965,898,176,13,42,1691,9,0,2,2408,11,0,15,11
521,Blackfriars,Late,1029,347,205,476,504,0,0,19,230,122,122,11,21,1,1029,0,0,0,0,0,0,0,0
521,Blackfriars,Totalday,27725,12523,13719,1484,1671,0,148,2212,7012,5401,7870,1674,1307,430,7084,227,137,97,19814,163,13,105,85
522,BlackhorseRoad,Early,1786,0,0,1786,1786,0,0,0,0,0,0,0,0,0,1786,0,0,0,0,0,0,0,0
522,BlackhorseRoad,AMpeak,6586,2203,4105,278,245,0,173,715,2084,1630,1239,417,0,84,3073,104,17,0,3316,10,0,18,49
522,BlackhorseRoad,Midday,2975,1565,1135,275,278,0,323,481,1063,172,411,35,210,0,1941,3,0,0,1031,0,0,0,0
522,BlackhorseRoad,PMPeak,1634,742,792,100,44,0,6,370,351,628,182,28,0,26,900,0,31,2,702,0,0,0,0
522,BlackhorseRoad,Evening,494,36,347,111,115,0,0,133,183,47,2,13,0,1,386,0,0,0,108,0,0,0,0
522,BlackhorseRoad,Late,97,48,5,44,44,0,0,38,9,0,2,5,0,0,83,0,0,0,14,0,0,0,0
522,BlackhorseRoad,Totalday,13573,4595,6383,2595,2512,0,502,1737,3690,2477,1836,499,210,110,8170,107,48,2,5170,10,0,18,49
524,BondStreet,Early,276,0,0,276,276,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0
524,BondStreet,AMpeak,2294,1250,976,68,51,0,54,296,850,404,427,89,30,94,1013,33,20,7,1164,44,4,9,0
524,BondStreet,Midday,16628,6110,9836,682,851,0,527,2548,3259,3011,3686,1402,760,584,9311,221,38,0,6958,18,0,56,26
524,BondStreet,PMPeak,24628,8296,15683,648,600,50,872,4512,7017,3748,5392,1194,778,465,8721,314,53,28,15403,4,0,32,73
524,BondStreet,Evening,13049,3862,8752,435,380,0,223,2584,4479,1949,2733,388,148,166,5705,74,124,0,7020,0,64,45,17
