 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,
  All day,,,,,,,,,
Zone,1,2,3,4,5,6,7,Total,
7,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.03%,0.09%,
Total,35.92%,34.32%,16.34%,7.76%,3.60%,1.67%,0.38%,100.00%,
,1,2,3,4/5/6/7,,,,,
1,25.34%,,,,,,,,
2,30.63%,8.12%,,,,,,,
3,12.18%,6.08%,1.02%,,,,,,
4/5/6/7,8.31%,4.78%,1.47%,2.06%,,,,,
,76.47%,18.98%,2.49%,2.06%,100.00%,,,,
 Late,,,,,,,,,
Zone,1,2,3,4,5,6,7,Total,
1,56044,55816,27182,10058,4456,1822,1060,156437,
2,17233,21204,11306,4948,1918,661,56,57325,
3,3220,2940,1975,916,271,101,28,9451,
4,1700,1833,667,684,828,302,8,6022,
5,203,423,182,559,124,290,210,1991,
6,523,341,383,387,417,215,13,2278,
7,3,8,3,31,20,42,41,147,
Total,78926,82564,41697,17583,8033,3432,1416,233652,
Percentages,,,,,,,,,
1,23.99%,23.89%,11.63%,4.30%,1.91%,0.78%,0.45%,66.95%,
2,7.38%,9.08%,4.84%,2.12%,0.82%,0.28%,0.02%,24.53%,
3,1.38%,1.26%,0.85%,0.39%,0.12%,0.04%,0.01%,4.04%,
4,0.73%,0.78%,0.29%,0.29%,0.35%,0.13%,0.00%,2.58%,
5,0.09%,0.18%,0.08%,0.24%,0.05%,0.12%,0.09%,0.85%,
6,0.22%,0.15%,0.16%,0.17%,0.18%,0.09%,0.01%,0.97%,
7,0.00%,0.00%,0.00%,0.01%,0.01%,0.02%,0.02%,0.06%,
Total,33.78%,35.34%,17.85%,7.53%,3.44%,1.47%,0.61%,100.00%,
,1,2,3,4/5/6/7,,,,,
1,23.99%,,,,,,,,
2,31.26%,9.08%,,,,,,,
3,13.01%,6.10%,0.85%,,,,,,
4/5/6/7,8.48%,4.36%,1.09%,1.79%,,,,,
,76.75%,19.53%,1.94%,1.79%,100.00%,,,,
,,,,,,,,,
 End of report,,,,,,,,,
