NLC,Station,Time period,Ticket Type,Total passengers,Total passenger kilometres,Average journey length (kms),
664,Oakwood,,Total day,  Total all types,4373,72544.03,16.59,
665,Old Street,,Total day,  Total all types,42475,312340.5,7.35,
667,Osterley,  ,Total day,  Total all types,3662,60157.34,16.43,
668,Oval,,Total day,  Total all types,9712,67142.19,6.91,
669,Oxford Circus ,Total day,  Total all types,124351,906162.63,7.29,
670,Paddington,,Total day,  Total all types,78516,549010.19,6.99,
671,Park Royal,,Total day,  Total all types,3297,36023.38,10.92,
672,Parsons Green ,Total day,  Total all types,11337,109129.13,9.63,
673,Perivale,  ,Total day,  Total all types,4009,56610.48,14.12,
674,Piccadilly Circus,Total day,  Total all types,57361,407047.91,7.1,
776,Pimlico,,Total day,  Total all types,19323,165730.34,8.58,
675,Pinner, ,Total day,  Total all types,5423,110269.97,20.33,
676,Plaistow,  ,Total day,  Total all types,9231,98023.41,10.62,
677,Preston Road,,Total day,  Total all types,5420,68488.42,12.64,
678,Putney Bridge ,Total day,  Total all types,8407,85940.83,10.22,
680,Queen's Park,,Total day,  Total all types,9695,89903.48,9.27,
679,Queensbury,,Total day,  Total all types,7576,118771.7,15.68,
681,Queensway, ,Total day,  Total all types,11803,98685.61,8.36,
682,Ravenscourt Park ,Total day,  Total all types,5283,49774.26,9.42,
683,Rayners Lane,,Total day,  Total all types,7278,104846.81,14.41,
684,Redbridge, ,Total day,  Total all types,4878,63186.17,12.95,
685,Regent's Park ,Total day,  Total all types,5110,29540.64,5.78,
686,Richmond,  ,Total day,  Total all types,9790,133935.95,13.68,
687,Rickmansworth ,Total day,  Total all types,3902,103531.56,26.53,
688,Roding Valley ,Total day,  Total all types,579,13805.97,23.86,
690,Royal Oak, ,Total day,  Total all types,4331,33103.84,7.64,
691,Ruislip,,Total day,  Total all types,3146,52908.12,16.82,
692,Ruislip Gardens  ,Total day,  Total all types,1931,39621.13,20.52,
693,Ruislip Manor ,Total day,  Total all types,3354,44540.98,13.28,
694,Russell Square,Total day,  Total all types,19872,149475.75,7.52,
698,Seven Sisters ,Total day,  Total all types,39191,434217.38,11.08,
700,Shepherd's Bush (Cen,Total day,  Total all types,34018,326888.09,9.61,
775,Shepherd's Bush Mark,Total day,  Total all types,5203,47388.83,9.11,
702,Sloane Square ,Total day,  Total all types,27524,207065.47,7.52,
703,Snaresbrook, ,Total day,  Total all types,4815,57706.19,11.98,
704,South Ealing,,Total day,  Total all types,5702,74014.46,12.98,
707,South Harrow,,Total day,  Total all types,3879,49652.47,12.8,
708,South Kensington ,Total day,  Total all types,49707,397073.88,7.99,
709,South Kenton,,Total day,  Total all types,1345,15230.59,11.32,
710,South Ruislip ,Total day,  Total all types,2953,56889.11,19.27,
711,South Wimbledon  ,Total day,  Total all types,7955,101683.48,12.78,
712,South Woodford,Total day,  Total all types,7612,101904.88,13.39,
705,Southfields, ,Total day,  Total all types,10522,105564.54,10.03,
706,Southgate, ,Total day,  Total all types,8786,131919.31,15.01,
784,Southwark, ,Total day,  Total all types,30082,251969.41,8.38,
695,St. James's Park ,Total day,  Total all types,17409,126296.66,7.25,
696,St. John's Wood  ,Total day,  Total all types,12185,113101.13,9.28,
697,St. Paul's,,Total day,  Total all types,30291,236824.95,7.82,
713,Stamford Brook,Total day,  Total all types,4479,44327.56,9.9,
714,Stanmore,  ,Total day,  Total all types,5940,114378.39,19.25,
715,Stepney Green ,Total day,  Total all types,10783,73800.11,6.84,
716,Stockwell, ,Total day,  Total all types,19774,142002.55,7.18,
717,Stonebridge Park ,Total day,  Total all types,3544,35882.97,10.12,
719,Stratford, ,Total day,  Total all types,137859,*********,10.06,
720,Sudbury Hill,,Total day,  Total all types,3115,41842.11,13.43,
721,Sudbury Town,,Total day,  Total all types,3400,41647.68,12.25,
723,Swiss Cottage ,Total day,  Total all types,12247,118493.29,9.68,
724,Temple, ,Total day,  Total all types,14533,95882.88,6.6,
725,Theydon Bois,,Total day,  Total all types,1352,33030.59,24.43,
726,Tooting Bec, ,Total day,  Total all types,13001,136997.34,10.54,
727,Tooting Broadway ,Total day,  Total all types,24969,279145.88,11.18,
