 NLC,Station,time period,NR/DLR/Tram,Bus/Coach,Bicycle,Motorcycle,Car/VanParked,Car/Vandrivenaway,Walked,Taxi/Minicab,RiverBus/Ferry,Other,Not Stated,Heathrow Terminal 1,Heathrow Terminal 2,Heathrow Terminal 3,Heathrow Terminal 4,Heathrow Terminal 5,Total all modes,
518,Becontree,Midday,0,253,0,0,1,4,951,0,0,0,59,0,0,0,0,0,1269,
518,Becontree,PM Peak,0,0,0,0,0,291,286,0,0,0,78,0,0,0,0,0,655,
518,Becontree,Evening,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,237,
518,Becontree,Late,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,55,
518,Becontree,Total day,0,504,0,0,351,387,3657,0,0,0,935,0,0,0,0,0,5834,
519,Belsize Park,Early ,0,1,0,0,0,0,229,0,0,0,0,0,0,0,0,0,231,
519,Belsize Park,AM peak,0,122,0,0,4,4,2785,0,0,229,50,0,0,0,0,0,3194,
519,Belsize Park,Midday,0,239,0,0,55,0,2439,0,0,275,113,0,0,0,0,0,3120,
519,Belsize Park,PM Peak,0,366,0,0,5,45,2613,0,0,31,2,0,0,0,0,0,3062,
519,Belsize Park,Evening,0,41,0,0,0,0,872,0,0,4,48,0,0,0,0,0,966,
519,Belsize Park,Late,0,17,0,0,0,0,264,0,0,0,15,0,0,0,0,0,296,
519,Belsize Park,Total day,0,787,0,0,64,49,9200,0,0,538,229,0,0,0,0,0,10868,
787,Bermondsey,Early ,0,134,0,0,0,8,640,0,0,0,84,0,0,0,0,0,866,
787,Bermondsey,AM peak,0,877,4,12,126,136,4503,0,0,0,223,0,0,0,0,0,5881,
787,Bermondsey,Midday,0,545,133,0,41,5,2955,0,0,0,276,0,0,0,0,0,3956,
787,Bermondsey,PM Peak,0,694,0,0,27,24,2923,33,0,0,662,0,0,0,0,0,4361,
787,Bermondsey,Evening,0,198,17,0,31,8,932,0,0,0,501,0,0,0,0,0,1686,
787,Bermondsey,Late,0,162,0,0,0,0,355,0,0,0,62,0,0,0,0,0,579,
787,Bermondsey,Total day,0,2610,154,12,225,180,12308,33,0,0,1806,0,0,0,0,0,17329,
520,Bethnal Green,Early ,88,93,0,0,0,27,585,0,0,46,0,0,0,0,0,0,839,
520,Bethnal Green,AM peak,269,746,20,0,0,7,4975,0,0,248,634,0,0,0,0,0,6899,
520,Bethnal Green,Midday,204,951,0,0,22,51,1803,0,0,53,3544,0,0,0,0,0,6628,
520,Bethnal Green,PM Peak,0,163,0,0,38,0,569,0,0,69,4544,0,0,0,0,0,5383,
520,Bethnal Green,Evening,276,178,33,0,0,0,306,0,0,151,1412,0,0,0,0,0,2355,
520,Bethnal Green,Late,0,125,0,0,0,0,551,12,0,0,394,0,0,0,0,0,1082,
520,Bethnal Green,Total day,836,2256,52,0,60,85,8789,12,0,567,10529,0,0,0,0,0,23186,
521,Blackfriars,Early,273,2,0,0,0,0,34,0,1,0,4,0,0,0,0,0,313,
521,Blackfriars,AM peak,3986,23,0,0,0,6,973,12,24,0,99,0,0,0,0,0,5122,
521,Blackfriars,Midday,1524,206,0,0,0,0,2983,70,38,0,764,0,0,0,0,0,5586,
521,Blackfriars,PM Peak,1222,233,0,0,0,0,8951,420,0,3,701,0,0,0,0,0,11530,
