 RODS report2b created at 13:27:32 on 29-03-2017,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,
,,,,,,
 Report 2b - Analysis of distance by ticket type and exit station,,,,,,
 NLC,Station name,Time period,Ticket Type,Total passengers,Total passenger kilometres,Average journey length (kms)
506,Amersham            ,Early       ,     Total all types,50,808.49,16.15
506,Amersham            ,AM peak     ,Daily (inc T/Card)  ,97,2218.98,22.8
506,Amersham            ,AM peak     ,Periods             ,56,662.53,11.84
506,Amersham            ,AM peak     ,Not Stated/Other    ,210,5359.44,25.54
506,Amersham            ,AM peak     ,     Total all types,364,8255.02,22.7
506,Amersham            ,Midday      ,Daily (inc T/Card)  ,291,6975.54,23.98
506,Amersham            ,Midday      ,Weekly              ,8,337.43,42.85
506,Amersham            ,Midday      ,Periods             ,3,61.9,23.77
506,Amersham            ,Midday      ,All Permits         ,143,2923.61,20.47
506,Amersham            ,Midday      ,Not Stated/Other    ,3,11.2,3.25
506,Amersham            ,Midday      ,     Total all types,448,10309.68,23.03
506,Amersham            ,PM Peak     ,Daily (inc T/Card)  ,460,3413.85,7.42
506,Amersham            ,PM Peak     ,Weekly              ,36,247.46,6.87
506,Amersham            ,PM Peak     ,Periods             ,102,676.03,6.62
506,Amersham            ,PM Peak     ,All Permits         ,16,79.71,4.95
506,Amersham            ,PM Peak     ,     Total all types,614,4420.6,7.19
506,Amersham            ,Evening     ,Daily (inc T/Card)  ,65,608.08,9.41
506,Amersham            ,Evening     ,Periods             ,390,14829.8,38.03
506,Amersham            ,Evening     ,All Permits         ,11,44.19,4.04
506,Amersham            ,Evening     ,     Total all types,466,15483.21,33.26
506,Amersham            ,Late        ,Daily (inc T/Card)  ,240,1746.9,7.29
506,Amersham            ,Late        ,Not Stated/Other    ,192,713.62,3.71
506,Amersham            ,Late        ,     Total all types,432,2461.02,5.69
506,Amersham            ,   Total day,Daily (inc T/Card)  ,1153,14963.35,12.98
506,Amersham            ,   Total day,Weekly              ,44,590.82,13.39
506,Amersham            ,   Total day,Periods             ,551,16230.26,29.48
506,Amersham            ,   Total day,All Permits         ,170,3056.47,17.96
506,Amersham            ,   Total day,Not Stated/Other    ,456,6897.12,15.13
506,Amersham            ,   Total day,     Total all types,2374,41738.02,17.58
507,Angel               ,Early       ,Not Stated/Other    ,426,3815.41,8.95
507,Angel               ,Early       ,     Total all types,426,3815.41,8.95
507,Angel               ,AM peak     ,Daily (inc T/Card)  ,3956,35485.21,8.97
507,Angel               ,AM peak     ,Weekly              ,2029,18293.74,9.02
507,Angel               ,AM peak     ,Periods             ,2817,22016.93,7.82
507,Angel               ,AM peak     ,All Permits         ,164,1188.7,7.26
507,Angel               ,AM peak     ,Not Stated/Other    ,1162,13975.39,12.02
507,Angel               ,AM peak     ,     Total all types,10128,90959.97,8.98
507,Angel               ,Midday      ,Daily (inc T/Card)  ,4360,34507.88,7.92
507,Angel               ,Midday      ,Weekly              ,1465,11216.98,7.66
507,Angel               ,Midday      ,Periods             ,1920,14145.25,7.37
507,Angel               ,Midday      ,All Permits         ,558,3683.61,6.6
507,Angel               ,Midday      ,Not Stated/Other    ,588,4516.2,7.68
507,Angel               ,Midday      ,     Total all types,8891,68069.92,7.66
507,Angel               ,PM Peak     ,Daily (inc T/Card)  ,3780,22151.63,5.86
507,Angel               ,PM Peak     ,Weekly              ,879,6712.16,7.64
507,Angel               ,PM Peak     ,Periods             ,1395,7538.38,5.4
507,Angel               ,PM Peak     ,All Permits         ,704,4414.05,6.27
507,Angel               ,PM Peak     ,Not Stated/Other    ,344,2617.5,7.6
507,Angel               ,PM Peak     ,     Total all types,7102,43433.72,6.12
507,Angel               ,Evening     ,Daily (inc T/Card)  ,2120,11367.57,5.36
507,Angel               ,Evening     ,Weekly              ,431,2898.49,6.73
507,Angel               ,Evening     ,Periods             ,601,5002.08,8.33
507,Angel               ,Evening     ,All Permits         ,389,1660.02,4.27
507,Angel               ,Evening     ,Not Stated/Other    ,336,1100.46,3.27
507,Angel               ,Evening     ,     Total all types,3877,22028.62,5.68
507,Angel               ,Late        ,Daily (inc T/Card)  ,494,3222.07,6.52
507,Angel               ,Late        ,Weekly              ,68,1771.6,26.02
507,Angel               ,Late        ,Periods             ,162,1093.52,6.77
507,Angel               ,Late        ,All Permits         ,39,148.33,3.76
507,Angel               ,Late        ,Not Stated/Other    ,594,3058.75,5.15
507,Angel               ,Late        ,     Total all types,1357,9294.27,6.85
507,Angel               ,   Total day,Daily (inc T/Card)  ,14711,106734.36,7.26
507,Angel               ,   Total day,Weekly              ,4871,40892.97,8.4
507,Angel               ,   Total day,Periods             ,6894,49796.16,7.22
507,Angel               ,   Total day,All Permits         ,1854,11094.71,5.98
507,Angel               ,   Total day,Not Stated/Other    ,3451,29083.71,8.43
507,Angel               ,   Total day,     Total all types,31781,237601.91,7.48
508,Archway             ,Early       ,Not Stated/Other    ,196,1741.15,8.9
508,Archway             ,Early       ,     Total all types,196,1741.15,8.9
508,Archway             ,AM peak     ,Daily (inc T/Card)  ,473,4783.77,10.11
508,Archway             ,AM peak     ,Weekly              ,782,8844.43,11.31
508,Archway             ,AM peak     ,Periods             ,727,6865.16,9.44
508,Archway             ,AM peak     ,All Permits         ,210,1647.91,7.84
508,Archway             ,AM peak     ,Not Stated/Other    ,425,5741.25,13.49
508,Archway             ,AM peak     ,     Total all types,2618,27882.52,10.65
508,Archway             ,Midday      ,Daily (inc T/Card)  ,1549,14171.12,9.15
508,Archway             ,Midday      ,Weekly              ,595,3764.4,6.32
508,Archway             ,Midday      ,Periods             ,562,4839.37,8.61
508,Archway             ,Midday      ,All Permits         ,566,4780.21,8.45
508,Archway             ,Midday      ,Not Stated/Other    ,90,836.43,9.34
508,Archway             ,Midday      ,     Total all types,3361,28391.53,8.45
508,Archway             ,PM Peak     ,Daily (inc T/Card)  ,1517,12515.07,8.25
508,Archway             ,PM Peak     ,Weekly              ,1512,13161.25,8.71
508,Archway             ,PM Peak     ,Periods             ,1450,11026.35,7.6
508,Archway             ,PM Peak     ,All Permits         ,286,2080.81,7.27
508,Archway             ,PM Peak     ,Not Stated/Other    ,22,235.36,10.92
508,Archway             ,PM Peak     ,     Total all types,4787,39018.84,8.15
508,Archway             ,Evening     ,Daily (inc T/Card)  ,1061,7759.34,7.31
508,Archway             ,Evening     ,Weekly              ,972,7742.57,7.97
508,Archway             ,Evening     ,Periods             ,999,8019.18,8.03
508,Archway             ,Evening     ,All Permits         ,95,863.48,9.05
508,Archway             ,Evening     ,Not Stated/Other    ,48,751.18,15.79
508,Archway             ,Evening     ,     Total all types,3175,25135.75,7.92
508,Archway             ,Late        ,Daily (inc T/Card)  ,538,3825.13,7.12
508,Archway             ,Late        ,Weekly              ,249,1726.28,6.92
508,Archway             ,Late        ,Periods             ,386,2305.26,5.97
508,Archway             ,Late        ,All Permits         ,37,220.68,5.93
508,Archway             ,Late        ,Not Stated/Other    ,462,3130.51,6.78
508,Archway             ,Late        ,     Total all types,1672,11207.86,6.7
508,Archway             ,   Total day,Daily (inc T/Card)  ,5138,43054.43,8.38
508,Archway             ,   Total day,Weekly              ,4110,35238.93,8.57
508,Archway             ,   Total day,Periods             ,4125,33055.32,8.01
508,Archway             ,   Total day,All Permits         ,1194,9593.09,8.03
508,Archway             ,   Total day,Not Stated/Other    ,1242,12435.88,10.01
508,Archway             ,   Total day,     Total all types,15809,133377.66,8.44
509,Arnos Grove         ,Early       ,Not Stated/Other    ,92,497.87,5.43
509,Arnos Grove         ,Early       ,     Total all types,92,497.87,5.43
509,Arnos Grove         ,AM peak     ,Daily (inc T/Card)  ,296,3282.9,11.11
509,Arnos Grove         ,AM peak     ,Weekly              ,144,1079.74,7.48
509,Arnos Grove         ,AM peak     ,Periods             ,194,1733.67,8.94
509,Arnos Grove         ,AM peak     ,All Permits         ,15,118.06,7.92
509,Arnos Grove         ,AM peak     ,Not Stated/Other    ,224,3344.44,14.95
509,Arnos Grove         ,AM peak     ,     Total all types,872,9558.81,10.96
509,Arnos Grove         ,Midday      ,Daily (inc T/Card)  ,463,5291.84,11.43
509,Arnos Grove         ,Midday      ,Weekly              ,137,1233.71,9
509,Arnos Grove         ,Midday      ,Periods             ,476,4232.37,8.89
509,Arnos Grove         ,Midday      ,All Permits         ,342,3148.26,9.22
509,Arnos Grove         ,Midday      ,Not Stated/Other    ,3,28.59,11.39
509,Arnos Grove         ,Midday      ,     Total all types,1421,13934.77,9.81
509,Arnos Grove         ,PM Peak     ,Daily (inc T/Card)  ,890,10753.25,12.08
509,Arnos Grove         ,PM Peak     ,Weekly              ,495,6205.02,12.54
