 RODS report1b created at 13:27:06 on 29-03-2017,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,
 ,,,,,,,,
 Report 1b - Analysis by ticket type and station,,,,,,,,
 NLC,Station name,Time period,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    ,Total all types
521,Blackfriars         ,Midday      ,3882,514,613,294,283,5586
521,Blackfriars         ,PM Peak     ,4979,2603,2843,361,743,11530
521,Blackfriars         ,Evening     ,1958,826,1231,113,18,4146
521,Blackfriars         ,Late        ,320,69,142,23,475,1029
521,Blackfriars         ,   Total day,12860,5129,6775,891,2071,27725
522,Blackhorse Road     ,Early       ,0,0,0,0,1786,1786
522,Blackhorse Road     ,AM peak     ,1873,1740,2400,56,518,6586
522,Blackhorse Road     ,Midday      ,1166,736,595,197,281,2975
522,Blackhorse Road     ,PM Peak     ,789,350,344,56,96,1634
522,Blackhorse Road     ,Evening     ,120,116,141,1,115,494
522,Blackhorse Road     ,Late        ,41,2,3,5,46,97
522,Blackhorse Road     ,   Total day,3988,2944,3483,315,2842,13573
524,Bond Street         ,Early       ,0,0,0,0,276,276
524,Bond Street         ,AM peak     ,928,458,770,79,59,2294
524,Bond Street         ,Midday      ,9729,2513,2371,1175,840,16628
524,Bond Street         ,PM Peak     ,9589,6808,6099,1369,763,24628
524,Bond Street         ,Evening     ,4313,4155,3841,271,469,13049
524,Bond Street         ,Late        ,1249,1003,756,63,984,4054
524,Bond Street         ,   Total day,25807,14937,13837,2958,3390,60929
525,Borough             ,Early       ,7,26,7,5,113,158
525,Borough             ,AM peak     ,811,276,352,19,232,1690
525,Borough             ,Midday      ,1035,663,605,180,155,2639
525,Borough             ,PM Peak     ,1256,927,1087,208,35,3514
525,Borough             ,Evening     ,493,366,204,33,67,1163
525,Borough             ,Late        ,102,71,100,0,115,389
525,Borough             ,   Total day,3705,2329,2355,446,717,9553
526,Boston Manor        ,Early       ,0,0,0,0,243,243
526,Boston Manor        ,AM peak     ,466,444,668,36,86,1700
526,Boston Manor        ,Midday      ,418,102,140,135,119,914
526,Boston Manor        ,PM Peak     ,143,196,108,105,269,822
526,Boston Manor        ,Evening     ,97,19,3,0,81,200
526,Boston Manor        ,Late        ,10,0,0,0,28,39
526,Boston Manor        ,   Total day,1135,762,919,276,826,3917
527,Bounds Green        ,Early       ,0,0,0,0,1187,1187
527,Bounds Green        ,AM peak     ,1197,1810,1698,122,99,4926
527,Bounds Green        ,Midday      ,779,683,368,196,482,2509
527,Bounds Green        ,PM Peak     ,513,417,124,38,340,1431
527,Bounds Green        ,Evening     ,13,75,144,55,250,537
527,Bounds Green        ,Late        ,52,0,0,3,100,155
527,Bounds Green        ,   Total day,2554,2986,2333,413,2459,10744
528,Bow Road            ,Early       ,0,0,0,0,549,549
528,Bow Road            ,AM peak     ,1321,1275,1402,23,164,4185
528,Bow Road            ,Midday      ,1120,585,410,161,9,2285
528,Bow Road            ,PM Peak     ,655,457,263,32,49,1456
528,Bow Road            ,Evening     ,193,107,194,6,34,534
528,Bow Road            ,Late        ,3,105,37,1,31,177
528,Bow Road            ,   Total day,3291,2529,2306,224,835,9186
529,Brent Cross         ,Early       ,0,0,0,0,334,334
529,Brent Cross         ,AM peak     ,495,634,353,18,55,1556
529,Brent Cross         ,Midday      ,732,168,108,40,22,1069
529,Brent Cross         ,PM Peak     ,222,271,162,44,13,713
529,Brent Cross         ,Evening     ,242,8,29,1,34,313
529,Brent Cross         ,Late        ,28,6,29,1,13,77
529,Brent Cross         ,   Total day,1719,1087,682,104,470,4062
778,Brixton             ,Early       ,10,0,0,0,3189,3199
778,Brixton             ,AM peak     ,6652,8337,8493,360,908,24751
778,Brixton             ,Midday      ,4015,3267,1963,680,668,10592
778,Brixton             ,PM Peak     ,2646,2388,1735,378,78,7225
778,Brixton             ,Evening     ,1078,986,795,177,67,3103
778,Brixton             ,Late        ,1070,905,709,51,878,3614
778,Brixton             ,   Total day,15472,15883,13695,1646,5788,52484
530,Bromley-by-Bow      ,Early       ,48,2,3,0,290,343
530,Bromley-by-Bow      ,AM peak     ,421,679,901,10,233,2243
530,Bromley-by-Bow      ,Midday      ,454,553,335,58,211,1610
530,Bromley-by-Bow      ,PM Peak     ,463,458,432,126,64,1543
530,Bromley-by-Bow      ,Evening     ,129,162,76,5,81,453
530,Bromley-by-Bow      ,Late        ,25,0,0,0,109,134
530,Bromley-by-Bow      ,   Total day,1540,1855,1746,198,988,6327
531,Buckhurst Hill      ,Early       ,12,0,3,0,376,391
531,Buckhurst Hill      ,AM peak     ,599,509,826,2,29,1965
531,Buckhurst Hill      ,Midday      ,382,146,35,53,55,671
531,Buckhurst Hill      ,PM Peak     ,260,107,11,1,47,425
531,Buckhurst Hill      ,Evening     ,0,58,0,0,80,138
531,Buckhurst Hill      ,Late        ,36,0,0,0,1,37
531,Buckhurst Hill      ,   Total day,1289,819,875,56,588,3627
532,Burnt Oak           ,Early       ,101,154,97,0,1126,1478
532,Burnt Oak           ,AM peak     ,1098,681,1108,194,65,3147
532,Burnt Oak           ,Midday      ,696,351,174,174,111,1506
532,Burnt Oak           ,PM Peak     ,187,257,295,78,121,939
532,Burnt Oak           ,Evening     ,131,103,23,59,0,316
532,Burnt Oak           ,Late        ,0,27,0,1,55,83
532,Burnt Oak           ,   Total day,2213,1574,1697,507,1478,7468
534,Caledonian Road     ,Early       ,0,1,0,0,284,285
534,Caledonian Road     ,AM peak     ,1024,724,770,63,319,2900
534,Caledonian Road     ,Midday      ,1028,663,481,426,40,2638
534,Caledonian Road     ,PM Peak     ,1031,470,697,67,69,2335
534,Caledonian Road     ,Evening     ,203,257,144,9,171,784
534,Caledonian Road     ,Late        ,33,126,25,0,131,314
534,Caledonian Road     ,   Total day,3319,2241,2117,566,1013,9255
535,Camden Town         ,Early       ,0,0,0,0,392,392
535,Camden Town         ,AM peak     ,1134,864,1198,201,123,3520
535,Camden Town         ,Midday      ,4966,886,1487,808,921,9067
535,Camden Town         ,PM Peak     ,4258,1836,2731,562,721,10109
535,Camden Town         ,Evening     ,1411,1035,1086,157,263,3952
535,Camden Town         ,Late        ,1250,280,781,146,1037,3495
535,Camden Town         ,   Total day,13020,4901,7284,1873,3457,30535
788,Canada Water        ,Early       ,0,0,23,0,2650,2672
788,Canada Water        ,AM peak     ,10724,7264,12230,833,1004,32055
788,Canada Water        ,Midday      ,7711,4019,3276,2058,1102,18166
788,Canada Water        ,PM Peak     ,5985,3113,2875,1006,589,13569
788,Canada Water        ,Evening     ,2521,1439,1886,224,635,6705
788,Canada Water        ,Late        ,814,70,212,48,900,2045
788,Canada Water        ,   Total day,27755,15906,20503,4169,6879,75211
852,Canary Wharf        ,Early       ,0,0,0,0,1149,1149
852,Canary Wharf        ,AM peak     ,2977,2376,2718,143,607,8821
852,Canary Wharf        ,Midday      ,7741,3704,2913,970,576,15903
852,Canary Wharf        ,PM Peak     ,16022,10129,16048,953,5178,48331
852,Canary Wharf        ,Evening     ,5810,2778,5411,143,1483,15625
852,Canary Wharf        ,Late        ,663,382,636,324,1312,3317
852,Canary Wharf        ,   Total day,33212,19370,27725,2533,10305,93145
884,Canning Town        ,Early       ,0,0,0,0,4191,4191
884,Canning Town        ,AM peak     ,3382,4582,3735,306,981,12986
884,Canning Town        ,Midday      ,3567,3574,2074,598,695,10509
