 Purpose,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200
zone 3,Home : Education                        ,21858,0,0,0,0,0,0,0,27,198,540,569,963,1292,847,1018,809,973,855,794,566,672,886,670,528,773,488,440,436,584,502,512,626,576,408,452,391,330,179,215,317,386,204,83,106,40,154,198,131,182,175,219,13,66,45,88,10,61,37,58,54,26,0,8,2,6,0,0,15,0,0,0,4,7,5,14,23,1,0,0,0,0,0,0,0
zone 3,Home : Tourist                          ,2347,0,0,0,0,0,0,0,0,0,0,19,135,15,123,2,0,0,27,133,188,16,183,72,220,98,51,66,133,61,26,44,93,0,36,55,4,99,21,33,75,40,34,0,97,4,31,0,10,0,0,5,56,0,3,26,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Home : Hotel                            ,1974,0,0,0,0,0,0,0,0,247,56,0,60,8,18,0,34,41,91,8,16,81,72,32,134,108,31,44,37,0,110,47,47,0,0,1,50,0,7,0,7,17,17,6,0,32,46,42,47,79,21,20,9,24,29,128,19,15,6,8,5,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Home : Other                            ,52078,0,0,0,0,0,0,0,38,262,336,362,387,513,679,983,1010,655,940,878,1167,1553,1193,1191,752,794,1048,1180,727,1194,1127,1146,1192,1021,1254,1176,857,778,1132,612,753,571,784,467,522,924,935,835,1107,967,1596,1322,1399,1500,1901,2096,1287,925,985,829,532,365,367,118,105,133,134,113,139,118,41,4,14,12,17,20,2,2,0,0,0,0,0,0,0
zone 3,Home : Unknown/Not Given                ,6484,0,0,0,0,0,0,1,15,458,71,112,232,109,352,182,219,333,150,167,62,184,57,99,170,108,35,81,269,20,73,44,135,80,16,50,98,146,52,138,113,146,35,73,83,42,70,8,95,169,130,134,74,47,163,50,81,18,53,35,126,150,77,70,33,22,10,9,31,7,3,2,6,4,0,1,0,0,0,0,0,0,0,0,0
zone 3,Work : Home                             ,48781,0,0,0,2,2,2,3,2,159,20,113,9,131,131,80,121,62,100,14,43,115,88,72,114,56,116,186,186,201,36,108,130,224,132,244,269,271,255,650,259,635,905,1061,1079,1322,1708,2253,1870,2910,3946,3883,2983,3409,2223,1543,1075,1659,1697,1247,1078,868,582,547,475,577,600,396,298,451,230,98,183,90,55,69,42,16,5,2,0,0,0,0,0
zone 3,Work : Work                             ,12540,0,0,0,0,0,0,0,0,341,125,100,213,198,348,185,160,197,131,190,291,332,128,183,268,166,312,102,169,302,237,351,218,265,367,293,415,327,244,170,474,419,311,488,386,154,212,279,293,461,122,249,341,106,132,186,160,1,98,77,33,21,25,14,33,68,35,1,1,0,0,0,0,0,4,5,18,3,0,0,0,0,0,0,0
zone 3,Work : Shop                             ,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,36,1,13,16,2,2,2,6,26,4,10,17,0,1,2,35,7,10,1,5,71,17,6,7,14,24,16,63,97,0,0,14,5,1,28,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Work : Education                        ,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,1,6,0,0,0,0,20,1,1,1,8,13,31,11,5,44,19,0,2,83,69,22,12,17,7,81,7,77,20,26,67,89,148,14,40,43,181,3,49,1,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Work : Tourist                          ,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Work : Hotel                            ,876,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,2,9,0,0,0,0,1,28,2,0,0,0,0,0,92,37,38,0,0,0,24,105,48,133,13,86,21,78,66,33,0,0,0,0,0,1,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Work : Other                            ,5728,0,0,0,0,0,0,0,0,0,0,0,17,7,5,8,0,62,12,23,15,15,4,6,20,4,43,62,7,55,69,20,2,111,33,124,76,190,23,30,10,3,24,101,163,348,222,235,185,408,362,341,429,489,466,310,193,70,86,94,53,16,9,2,4,1,3,32,3,2,15,2,0,3,2,0,0,0,0,0,0,0,0,0,0
zone 3,Work : Unknown/Not Given                ,671,0,0,0,0,0,0,0,0,32,0,0,0,3,9,27,0,0,51,12,0,12,0,12,8,6,0,0,0,1,0,0,0,0,0,0,0,35,0,12,0,8,17,15,58,0,12,6,135,19,0,33,2,19,6,8,41,0,1,12,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Shop : Home                             ,4558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,13,3,41,7,8,25,106,106,157,69,9,75,185,114,236,104,111,130,434,171,97,171,91,125,190,147,70,148,42,248,7,118,65,227,165,43,147,92,51,4,11,8,11,77,36,3,2,1,12,11,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Shop : Work                             ,286,0,0,0,0,0,0,0,0,0,0,0,0,47,0,11,29,6,0,15,0,0,0,2,1,2,0,0,2,42,0,9,11,2,0,0,2,2,19,14,0,8,0,0,0,34,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Shop : Shop                             ,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,15,0,0,0,0,2,21,26,64,0,1,4,19,10,10,42,89,50,61,12,0,29,145,138,122,112,11,5,4,1,4,7,0,51,0,66,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Shop : Education                        ,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,54,0,12,0,0,216,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Shop : Tourist                          ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Shop : Hotel                            ,122,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Shop : Other                            ,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,18,3,4,27,2,13,2,57,0,0,35,0,1,7,1,0,0,0,63,0,0,0,0,29,1,111,44,128,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Shop : Unknown/Not Given                ,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Education : Home                        ,9315,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,39,8,48,148,14,6,66,10,25,25,46,125,61,6,4,51,134,52,82,136,93,112,174,124,261,233,398,727,408,323,652,532,992,400,247,481,195,182,250,68,158,31,51,63,73,193,123,72,101,121,85,90,31,27,24,21,5,47,37,8,4,0,0,0,0,0,0,0,0
zone 3,Education : Work                        ,1425,0,0,0,0,0,0,0,0,0,0,0,9,98,149,188,156,269,232,65,19,4,6,29,0,19,0,0,0,0,0,0,0,0,0,0,33,1,20,3,0,23,7,8,31,5,8,10,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Education : Shop                        ,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,43,0,0,0,21,0,9,0,1,0,33,0,0,2,36,48,56,0,0,4,8,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Education : Education                   ,2651,0,0,0,0,0,0,0,0,0,30,149,96,129,80,49,95,72,7,38,16,131,25,226,20,15,54,79,89,61,16,87,33,43,63,0,0,0,0,4,13,38,6,103,84,93,6,125,50,126,0,6,0,61,0,69,0,20,75,13,23,4,3,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Education : Tourist                     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Education : Hotel                       ,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Education : Other                       ,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,14,0,20,5,15,0,19,0,0,0,3,15,16,7,9,10,11,0,3,13,48,0,9,75,0,90,29,0,13,26,5,30,0,0,37,0,0,0,9,8,0,15,0,0,0,0,0,0,1,4,10,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Education : Unknown/Not Given           ,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,22,0,0,0,11,12,0,0,0,0,0,0,0,0,4,12,111,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Tourist : Home                          ,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,19,21,15,6,13,0,0,3,0,1,0,0,0,0,0,0,2,19,16,4,13,7,46,137,22,0,0,0,11,0,0,39,0,19,0,0,39,34,18,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Tourist : Shop                          ,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Tourist : Tourist                       ,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,2,0,4,11,61,101,31,3,0,50,2,1,0,0,0,0,0,0,1,1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Tourist : Hotel                         ,95,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,23,15,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Tourist : Other                         ,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,5,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Hotel : Home                            ,1787,0,0,0,0,0,0,0,0,0,0,0,30,71,7,0,17,42,60,79,27,0,36,0,46,19,4,3,9,33,29,36,0,70,0,18,17,5,130,117,38,26,71,1,0,32,70,4,0,24,32,81,70,0,24,53,38,0,0,33,5,1,10,100,49,7,57,4,0,1,1,14,22,9,3,3,1,2,0,0,0,0,0,0,0
zone 3,Hotel : Work                            ,1630,0,0,0,0,0,0,0,0,103,313,135,98,251,157,95,58,80,9,35,17,0,39,0,2,2,149,33,0,0,0,3,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,12,12,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Hotel : Shop                            ,403,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,6,2,27,23,54,70,0,3,3,0,0,0,76,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Hotel : Education                       ,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,11,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Hotel : Tourist                         ,536,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,22,36,0,84,32,28,36,61,30,38,19,25,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Hotel : Hotel                           ,457,0,0,0,0,0,0,0,0,0,33,0,0,0,25,0,35,17,1,1,1,0,0,0,0,0,188,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,12,51,26,0,0,0,0,0,0,0,16,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Hotel : Other                           ,584,0,0,0,0,0,0,0,0,32,0,0,41,26,0,0,0,0,3,2,3,0,30,10,6,35,4,27,0,15,9,19,17,18,4,13,4,3,0,0,0,0,0,0,0,5,6,6,9,4,34,75,0,17,56,0,18,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Hotel : Unknown/Not Given               ,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,63,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Other : Home                            ,17132,0,0,0,0,0,0,0,0,3,27,19,2,27,100,78,72,28,318,42,112,64,108,93,189,51,276,146,120,53,136,128,344,222,307,190,167,255,256,91,264,183,203,315,277,447,341,288,415,720,592,269,436,267,310,180,545,408,327,363,184,326,458,764,437,412,377,376,427,327,424,352,238,326,173,151,140,45,18,2,0,0,0,0,0
zone 3,Other : Work                            ,3930,0,0,0,0,0,0,2,5,143,251,107,101,123,259,143,174,212,177,161,227,219,72,162,83,64,36,14,37,75,56,63,17,92,118,65,20,91,12,58,47,43,33,51,33,54,32,4,46,16,0,0,109,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Other : Shop                            ,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,17,3,38,0,30,21,1,41,25,66,0,4,0,27,21,0,32,46,36,38,7,33,0,47,0,0,59,15,66,10,1,0,0,3,2,25,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Other : Education                       ,460,0,0,0,0,0,0,0,1,2,1,0,7,87,0,9,4,16,3,10,1,17,5,34,0,4,20,35,2,3,23,0,0,7,9,0,0,5,0,0,0,3,7,68,0,24,0,12,0,20,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Other : Tourist                         ,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,65,14,192,95,7,0,14,2,2,4,3,58,0,0,3,0,0,0,0,0,0,3,3,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Other : Hotel                           ,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,190,0,51,0,25,0,0,0,0,0,0,0,0,0,14,0,0,4,23,24,0,5,4,0,4,19,35,0,7,9,9,10,0,1,0,0,0,0,0,0,0,0
zone 3,Other : Other                           ,7337,0,0,0,0,0,0,0,0,2,0,0,0,3,9,45,63,78,29,58,174,38,162,51,147,36,176,139,106,253,152,169,213,126,88,95,85,74,238,247,44,72,49,93,283,258,259,174,115,375,268,63,196,274,58,172,298,144,19,18,127,93,150,26,96,22,39,26,58,65,63,31,120,97,14,13,4,0,0,0,0,0,0,0,0
zone 3,Other : Unknown/Not Given               ,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,11,9,23,18,1,24,0,0,69,0,0,0,0,0,0,50,1,4,7,0,0,0,11,0,16,0,0,0,0,0,0,0,41,0,0,32,0,11,0,0,0,0,5,13,0,0,0,0,0,0,0,18,14,10,0,0,0,0,0,0,0,0,0,0,0
zone 3,Unknown/Not Given : Home                ,1195,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,3,6,14,7,12,0,0,4,68,19,9,5,50,26,14,3,1,77,1,0,15,10,0,6,44,1,0,8,0,0,10,66,88,15,0,127,89,0,32,105,6,11,53,1,0,2,0,0,36,17,8,57,0,0,7,26,0,6,15,0,1,0,0,0,0,0,0,0
zone 3,Unknown/Not Given : Work                ,2184,0,0,0,0,0,0,0,8,33,85,83,190,128,112,160,257,217,48,63,65,11,2,11,0,14,2,0,86,30,2,11,0,0,3,12,4,123,7,79,4,0,0,7,0,0,0,0,0,58,0,0,0,26,106,92,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,1,1,0,0,0,0,0,0,0
zone 3,Unknown/Not Given : Shop                ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Unknown/Not Given : Education           ,442,0,0,0,0,0,0,0,0,0,0,60,5,0,21,0,107,19,4,0,46,16,34,17,0,0,0,3,0,0,0,0,0,0,0,22,0,10,24,18,0,0,0,0,0,0,28,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Unknown/Not Given : Tourist             ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Unknown/Not Given : Hotel               ,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,11,0,0,0,0,39,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Unknown/Not Given : Other               ,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,11,5,7,14,13,46,82,3,2,6,10,8,12,12,0,3,2,21,6,3,41,5,3,5,6,119,3,6,0,0,1,31,0,3,0,66,0,0,0,0,0,14,0,0,0,0,0,25,36,0,0,45,0,0,0,15,19,12,0,0,0,0,0,0,0
zone 3,Unknown/Not Given : Unknown/Not Given   ,74932,978,1798,3000,4532,6868,9503,11789,13869,1535,1251,662,421,379,674,357,295,311,233,178,214,404,314,132,421,271,129,94,416,246,159,233,131,173,186,89,137,150,250,183,151,248,351,91,151,168,311,368,880,495,218,667,479,122,305,131,286,199,175,193,96,172,148,128,229,243,254,216,383,414,410,388,437,443,414,346,349,362,243,180,100,20,1,0,0
zone 4,Home : Home                             ,906,0,0,0,0,0,0,0,0,1,23,59,31,55,34,29,0,14,7,9,18,0,10,1,4,2,3,3,17,16,13,0,50,9,46,0,36,12,28,18,11,0,18,0,0,11,16,94,22,0,0,0,0,58,23,0,55,0,0,12,0,0,0,7,4,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 4,Home : Work                             ,109194,0,8,0,5,15,47,281,1507,7359,8170,9608,11690,12514,11172,9048,6753,5094,3522,2313,1768,1213,1039,959,696,653,541,658,648,519,438,363,612,459,430,541,458,350,284,501,269,289,276,379,338,388,305,332,347,532,422,306,316,188,205,137,131,424,67,210,150,82,112,107,166,69,117,75,96,27,25,16,7,9,15,10,7,3,0,0,0,0,0,0,0
zone 4,Home : Shop                             ,5997,0,0,0,0,0,0,0,0,8,28,11,9,170,158,31,35,108,150,162,223,196,245,261,274,219,244,181,117,203,86,192,100,157,381,225,160,183,172,223,95,78,142,156,154,272,74,26,25,27,2,16,0,2,8,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 4,Home : Education                        ,14789,0,0,0,0,2,8,19,42,302,427,644,760,881,1135,564,625,564,522,467,315,368,423,303,333,317,258,205,228,326,293,264,244,544,349,180,136,194,204,94,151,202,102,123,289,164,183,299,80,70,19,144,108,176,39,21,27,1,16,17,4,1,0,0,4,0,0,0,0,0,0,0,0,0,3,1,4,3,0,0,0,0,0,0,0
zone 4,Home : Tourist                          ,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,146,83,122,36,110,75,67,7,51,62,70,59,21,16,59,42,40,0,17,17,0,2,2,0,3,10,37,2,9,0,3,0,0,0,52,0,0,0,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 4,Home : Hotel                            ,1359,0,0,0,0,0,0,0,0,15,29,31,0,12,13,17,108,5,11,10,28,41,83,32,83,19,16,25,41,42,24,0,2,0,27,62,82,54,5,11,46,2,0,0,0,3,10,34,115,16,0,1,0,27,10,51,0,21,7,2,5,22,8,0,0,18,23,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 4,Home : Other                            ,27475,0,0,0,0,0,0,2,52,89,89,325,551,401,367,756,497,355,505,550,657,652,598,697,656,620,657,643,497,651,539,529,501,443,619,552,460,483,478,302,325,243,353,488,463,345,615,437,453,663,680,978,657,912,986,607,514,309,336,227,262,277,206,64,61,64,27,3,1,37,32,5,5,3,11,12,23,17,0,0,0,0,0,0,0
zone 4,Home : Unknown/Not Given                ,3285,0,0,0,0,0,0,0,6,132,185,127,46,133,95,100,13,72,45,128,70,66,71,76,46,24,40,191,73,0,94,10,24,17,12,80,39,76,104,12,9,45,20,20,70,6,7,7,59,58,86,9,135,63,67,37,0,68,59,54,69,55,2,1,4,4,0,0,1,19,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 4,Work : Home                             ,27011,0,0,0,0,0,0,1,11,89,93,79,141,204,84,18,61,97,37,28,58,8,26,13,7,26,8,53,41,60,82,88,113,144,79,122,191,158,199,211,240,335,445,495,707,896,852,1130,1391,1916,1993,1821,1643,1480,1493,941,563,921,957,693,410,350,329,424,323,213,236,145,276,247,94,61,105,94,81,39,23,11,4,0,0,0,0,0,0
zone 4,Work : Work                             ,7634,0,0,0,0,0,0,2,5,225,118,253,203,183,207,157,225,142,127,133,51,96,61,55,230,171,130,120,131,190,91,154,168,64,85,121,117,87,100,164,191,218,106,230,165,97,57,66,242,306,152,165,248,116,38,113,173,25,3,29,37,23,151,36,49,38,2,12,12,56,5,12,3,8,9,36,23,14,1,0,0,0,0,0,0
zone 4,Work : Shop                             ,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,22,1,11,0,0,1,5,31,3,67,12,23,0,0,26,7,2,10,10,10,5,50,45,6,18,48,4,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 4,Work : Education                        ,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,1,0,0,2,1,27,0,22,72,31,45,26,5,27,24,39,37,0,13,0,0,0,16,53,56,59,37,1,4,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 4,Work : Tourist                          ,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
