 Purpose,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200
zone 1,Education : Other                       ,10922,0,0,0,0,0,0,0,0,0,0,0,12,87,0,22,6,2,33,15,43,86,15,58,4,8,52,154,211,399,315,259,148,149,344,144,613,322,587,398,13,54,134,268,358,525,188,796,178,286,185,392,669,240,329,194,293,69,153,216,173,245,44,128,69,14,41,33,94,20,9,20,2,0,3,0,0,0,0,0,0,0,0,0,0
zone 1,Education : Unknown/Not Given           ,852,0,0,0,0,0,0,0,0,0,0,0,0,7,16,28,4,0,15,1,13,1,0,0,14,65,1,0,0,149,22,22,0,0,0,45,0,0,0,1,78,12,0,79,0,34,44,16,0,0,0,0,0,8,85,14,0,0,0,15,0,11,0,0,0,34,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0
zone 1,Tourist : Home                          ,10453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,26,59,0,112,78,106,23,62,28,0,132,393,64,206,346,289,262,310,394,390,1055,774,508,222,275,339,701,242,181,0,565,626,334,461,13,39,67,73,29,88,33,127,23,176,66,76,18,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0
zone 1,Tourist : Work                          ,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,0,0,0,0,10,14,0,0,0,0,34,17,0,0,59,55,82,14,1,0,0,0,112,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Tourist : Shop                          ,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,65,38,11,7,53,0,2,41,130,7,5,0,0,130,0,117,0,63,23,83,13,27,25,3,28,0,112,0,33,0,0,0,0,0,8,0,24,0,3,0,0,0,34,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Tourist : Education                     ,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,18,0,95,73,0,142,4,0,0,0,66,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Tourist : Tourist                       ,6503,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,16,50,7,72,9,272,82,230,34,1,85,277,88,217,39,116,52,242,77,91,98,225,282,136,180,580,322,403,87,532,43,103,0,236,0,0,392,163,41,10,272,43,0,0,17,80,3,17,6,0,0,0,3,0,0,0,83,0,0,0,53,0,0,0,0,0,0,0,0
zone 1,Tourist : Hotel                         ,5071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,34,0,83,1,32,0,10,1,73,1,5,103,82,28,0,45,180,25,14,169,158,54,618,52,389,892,300,221,275,49,164,78,131,0,116,90,89,14,80,0,21,65,24,108,62,43,23,0,2,0,20,0,17,0,0,0,0,0,0,0,0,0,0,0
zone 1,Tourist : Other                         ,5356,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,82,53,5,0,43,152,36,83,135,156,386,0,296,109,162,157,145,106,227,16,453,290,129,175,58,161,224,292,505,221,202,122,74,29,18,0,0,1,0,0,0,0,18,24,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Tourist : Unknown/Not Given             ,550,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,124,0,0,0,0,0,97,0,0,0,0,20,64,51,0,0,0,0,0,81,0,0,0,4,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Hotel : Home                            ,10377,0,0,0,0,0,0,0,0,0,41,51,28,65,111,96,0,58,255,75,115,246,148,184,612,175,232,277,285,161,254,84,294,242,189,207,649,10,168,387,277,118,87,277,252,75,215,215,139,0,303,350,289,61,123,293,154,112,60,38,92,62,33,31,94,147,29,107,187,82,66,52,77,24,78,75,0,0,0,0,0,0,0,0,0
zone 1,Hotel : Work                            ,13319,0,0,0,0,0,0,8,13,381,554,787,1188,927,964,923,686,653,818,632,238,558,251,211,151,197,119,341,163,70,97,180,166,20,38,2,160,47,329,40,96,102,245,104,143,189,0,0,39,66,22,0,71,59,0,219,0,9,35,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Hotel : Shop                            ,5777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,170,274,138,436,516,424,315,586,221,116,231,24,292,50,9,65,29,44,134,205,102,186,168,401,0,50,67,60,0,5,130,47,0,0,0,0,16,0,0,0,1,0,0,0,0,14,10,0,43,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Hotel : Education                       ,861,0,0,0,0,0,0,0,0,19,0,0,9,57,39,21,6,76,134,23,10,39,0,0,35,59,0,1,0,0,0,22,0,32,0,0,0,0,44,54,39,9,0,0,0,0,0,0,0,0,0,1,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Hotel : Tourist                         ,8231,0,0,0,0,0,0,0,0,0,20,6,18,59,16,27,54,211,365,585,575,815,1375,334,281,404,664,277,138,133,0,155,45,166,36,79,7,148,0,5,41,329,0,0,0,5,11,20,82,3,261,125,0,170,0,82,0,8,4,0,0,8,1,1,0,0,15,36,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Hotel : Hotel                           ,4539,0,0,0,0,0,0,1,3,4,11,13,0,0,0,0,0,0,0,0,4,209,87,66,91,19,99,7,35,10,0,221,72,0,143,86,45,193,26,191,300,134,105,0,159,109,44,164,41,23,171,258,66,250,16,96,340,2,9,53,7,216,62,0,0,2,0,79,0,22,6,2,22,13,13,0,116,0,0,0,0,0,0,0,0
zone 1,Hotel : Other                           ,19119,0,0,0,0,0,0,2,12,38,9,23,40,73,63,126,157,432,380,825,496,1122,1063,912,793,832,575,281,612,502,255,150,344,298,250,179,318,170,19,164,565,218,363,55,0,131,0,81,144,779,292,623,412,537,275,900,605,536,178,88,58,97,4,56,476,2,49,20,7,0,0,0,38,15,2,0,0,0,0,0,0,0,0,0,0
zone 1,Hotel : Unknown/Not Given               ,906,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,60,30,49,42,12,65,0,21,61,8,0,29,86,0,0,0,0,0,20,0,0,5,4,3,4,0,0,0,0,4,0,206,24,0,0,32,80,0,0,29,0,12,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Other : Home                            ,223646,0,0,0,0,0,1,2,4,161,8,225,402,284,197,192,616,1008,276,296,387,563,657,894,492,1307,838,1430,917,1454,1565,1699,2083,2665,1691,1782,2026,2272,2142,3015,3601,3572,4737,4211,3466,4331,5374,4296,3889,3234,4712,3405,3376,5147,4787,5970,4058,2556,3836,3957,4231,4217,5848,5850,6055,6726,7555,7905,8884,9275,8871,7417,7187,6282,4963,4142,1965,202,4,0,0,0,0,0,0
