 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
,,,,,,,,,,,
 Report 1a - Analysis by origin purpose for Heathrow Terminals 123,,,,,,,,,,,
,Total,Passenger  ,Work       ,Meeting    ,Crew       ,Business   ,Seeing off ,Hotel      ,Sightseeing,Other      ,Not stated
Late        ,Crew       ,0,0,0,0,0,0,0,0,0,
Late        ,Business   ,16,0,0,0,0,0,0,0,16,
Late        ,Seeing off ,0,0,0,0,0,0,0,0,0,
Late        ,Hotel      ,0,0,0,0,0,0,0,0,0,
Late        ,Sightseeing,0,0,0,0,0,0,0,0,0,
Late        ,Other      ,0,0,0,0,0,0,0,0,0,
Late        ,Not stated ,0,0,0,0,0,0,0,94,94,
 Total day  ,Passenger  ,974,76,0,0,0,272,131,4,1457,
 Total day  ,Work       ,409,78,0,0,0,0,26,33,547,
 Total day  ,Meeting    ,9,0,0,32,0,51,0,0,92,
 Total day  ,Crew       ,39,0,0,0,0,0,0,0,39,
 Total day  ,Business   ,16,131,0,0,0,0,0,0,147,
 Total day  ,Seeing off ,169,0,0,0,85,6,113,0,373,
 Total day  ,Hotel      ,0,5,0,0,0,4,11,0,20,
 Total day  ,Sightseeing,0,0,0,0,0,0,0,0,0,
 Total day  ,Other      ,0,32,37,0,0,0,108,20,198,
 Total day  ,Not stated ,0,0,0,0,0,0,0,335,335,
 ,,,,,,,,,,,
 Report 1a - Analysis by origin purpose for Heathrow Terminal 5,,,,,,,,,,,
,Total,Passenger  ,Work       ,Meeting    ,Crew       ,Business   ,Seeing off ,Hotel      ,Sightseeing,Other      ,Not stated
Early       ,0,26,12,0,0,0,0,0,0,15,256
AM peak     ,0,370,50,143,55,0,16,140,0,203,0
Midday      ,0,607,265,128,0,26,287,0,297,422,330
PM Peak     ,0,879,152,43,113,17,46,0,0,0,94
Evening     ,0,446,404,0,0,11,72,0,0,10,159
Late        ,0,0,1,0,0,0,0,0,0,0,384
 Total day  ,6479,2329,884,314,168,54,420,140,297,650,1223
 ,,,,,,,,,,,
 Report 1a - Analysis by journey purpose for Heathrow Terminal 5,,,,,,,,,,,
Origin,Destination,Home                ,Work                ,Shop                ,Education           ,Tourist             ,Hotel               ,Other               ,Unknown/Not Given   ,Total,
Early       ,Passenger  ,18,8,0,0,0,0,0,0,26,
Early       ,Work       ,12,0,0,0,0,0,0,0,12,
Early       ,Meeting    ,0,0,0,0,0,0,0,0,0,
