 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,
 ,,,,,,,,
 Report 1a - Analysis by journey purpose and ticket type,,,,,,,,
,Time period,Origin Journey Purpose :                 Destination Journey Purpose,Total all types,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    
zone 1,Midday      ,Shop : Unknown/Not Given                ,462,274,51,0,29,107
zone 1,Midday      ,Education : Home                        ,28780,8324,6806,12561,464,625
zone 1,Midday      ,Education : Work                        ,2354,493,754,1028,4,75
zone 1,Midday      ,Education : Shop                        ,2726,811,799,1107,10,0
zone 1,Midday      ,Education : Education                   ,4544,1604,1319,1568,54,0
zone 1,Midday      ,Education : Tourist                     ,260,132,104,0,0,25
zone 1,Midday      ,Education : Hotel                       ,262,5,0,242,15,0
zone 1,Midday      ,Education : Other                       ,5096,1746,1217,1917,78,138
zone 1,Midday      ,Education : Unknown/Not Given           ,490,219,99,101,0,71
zone 1,Midday      ,Tourist : Home                          ,5119,2768,640,264,1176,272
zone 1,Midday      ,Tourist : Work                          ,399,283,15,75,27,0
zone 1,Midday      ,Tourist : Shop                          ,844,603,206,0,34,0
zone 1,Midday      ,Tourist : Education                     ,352,215,4,19,20,95
zone 1,Midday      ,Tourist : Tourist                       ,4215,2995,991,147,76,6
zone 1,Midday      ,Tourist : Hotel                         ,1767,1443,324,0,0,0
zone 1,Midday      ,Tourist : Other                         ,3093,2138,400,185,132,238
zone 1,Midday      ,Tourist : Unknown/Not Given             ,372,238,20,0,16,97
zone 1,Midday      ,Hotel : Home                            ,5816,4635,37,194,530,420
zone 1,Midday      ,Hotel : Work                            ,3830,3332,228,174,94,2
zone 1,Midday      ,Hotel : Shop                            ,4673,3412,1236,3,0,21
zone 1,Midday      ,Hotel : Education                       ,335,120,172,11,32,0
zone 1,Midday      ,Hotel : Tourist                         ,5433,3161,1910,82,3,276
zone 1,Midday      ,Hotel : Hotel                           ,2298,1663,561,0,75,0
zone 1,Midday      ,Hotel : Other                           ,10040,7420,2413,158,46,3
zone 1,Midday      ,Hotel : Unknown/Not Given               ,306,189,52,0,38,27
zone 1,Midday      ,Other : Home                            ,49081,31329,5000,4594,6671,1486
zone 1,Midday      ,Other : Work                            ,8618,4545,1718,2050,290,15
zone 1,Midday      ,Other : Shop                            ,5952,4339,376,490,466,281
zone 1,Midday      ,Other : Education                       ,2171,1190,485,449,19,29
zone 1,Midday      ,Other : Tourist                         ,3663,2256,1159,158,89,0
zone 1,Midday      ,Other : Hotel                           ,5809,4806,516,245,242,0
zone 1,Midday      ,Other : Other                           ,27986,19001,3566,3187,1608,624
zone 1,Midday      ,Other : Unknown/Not Given               ,1542,1006,116,56,141,222
zone 1,Midday      ,Unknown/Not Given : Home                ,3565,1935,633,309,315,373
zone 1,Midday      ,Unknown/Not Given : Work                ,1035,400,401,142,36,57
zone 1,Midday      ,Unknown/Not Given : Shop                ,481,285,153,9,34,0
zone 1,Midday      ,Unknown/Not Given : Education           ,358,141,37,138,0,41
zone 1,Midday      ,Unknown/Not Given : Tourist             ,178,59,56,0,1,62
zone 1,Midday      ,Unknown/Not Given : Hotel               ,445,428,0,0,18,0
zone 1,Midday      ,Unknown/Not Given : Other               ,2276,1394,410,148,102,222
zone 1,Midday      ,Unknown/Not Given : Unknown/Not Given   ,42392,673,4,5,19,41691
zone 1,PM Peak     ,Home : Home                             ,6408,2823,573,2414,376,221
zone 1,PM Peak     ,Home : Work                             ,16702,8124,4021,3216,1005,335
zone 1,PM Peak     ,Home : Shop                             ,3326,1959,324,410,571,62
zone 1,PM Peak     ,Home : Education                        ,4543,2043,800,1362,312,27
zone 1,PM Peak     ,Home : Tourist                          ,644,391,3,194,56,0
zone 1,PM Peak     ,Home : Hotel                            ,3296,2544,136,326,290,0
zone 1,PM Peak     ,Home : Other                            ,42370,28565,4990,3205,4815,794
zone 1,PM Peak     ,Home : Unknown/Not Given                ,11511,4687,2105,3455,764,500
zone 1,PM Peak     ,Work : Home                             ,385419,131234,102124,138890,8349,4822
zone 1,PM Peak     ,Work : Work                             ,25042,13422,4474,6018,718,411
zone 1,PM Peak     ,Work : Shop                             ,7511,2454,2223,2590,181,62
zone 1,PM Peak     ,Work : Education                        ,7053,2704,1891,2216,133,109
zone 1,PM Peak     ,Work : Tourist                          ,856,472,3,371,11,0
zone 1,PM Peak     ,Work : Hotel                            ,15229,10379,1482,2726,412,230
zone 1,PM Peak     ,Work : Other                            ,57665,24020,13063,18050,1562,970
zone 1,PM Peak     ,Work : Unknown/Not Given                ,3133,1028,692,823,84,506
zone 1,PM Peak     ,Shop : Home                             ,17462,9193,1969,4363,1641,296
zone 1,PM Peak     ,Shop : Work                             ,580,323,48,80,33,96
zone 1,PM Peak     ,Shop : Shop                             ,1913,1262,362,151,103,36
zone 1,PM Peak     ,Shop : Education                        ,516,306,86,124,0,0
zone 1,PM Peak     ,Shop : Tourist                          ,273,162,111,0,0,0
zone 1,PM Peak     ,Shop : Hotel                            ,1608,858,675,0,75,0
zone 1,PM Peak     ,Shop : Other                            ,3335,2071,794,279,189,2
zone 1,PM Peak     ,Shop : Unknown/Not Given                ,85,77,0,0,8,0
zone 1,PM Peak     ,Education : Home                        ,41683,11750,11517,16407,820,1189
zone 1,PM Peak     ,Education : Work                        ,1135,160,471,444,33,27
zone 1,PM Peak     ,Education : Shop                        ,1582,769,482,306,24,0
zone 1,PM Peak     ,Education : Education                   ,3603,1349,1449,741,57,6
zone 1,PM Peak     ,Education : Tourist                     ,403,321,82,0,0,0
zone 1,PM Peak     ,Education : Hotel                       ,1223,667,220,238,1,96
zone 1,PM Peak     ,Education : Other                       ,4275,1932,1658,499,57,129
zone 1,PM Peak     ,Education : Unknown/Not Given           ,201,94,25,66,0,16
zone 1,PM Peak     ,Tourist : Home                          ,4454,3635,8,266,534,11
zone 1,PM Peak     ,Tourist : Work                          ,131,81,0,50,0,0
zone 1,PM Peak     ,Tourist : Shop                          ,181,61,120,0,0,0
zone 1,PM Peak     ,Tourist : Education                     ,173,173,0,0,0,0
zone 1,PM Peak     ,Tourist : Tourist                       ,1791,1125,658,0,8,0
zone 1,PM Peak     ,Tourist : Hotel                         ,2705,1375,1316,0,14,0
zone 1,PM Peak     ,Tourist : Other                         ,2192,1197,625,75,295,0
zone 1,PM Peak     ,Tourist : Unknown/Not Given             ,93,78,0,0,0,16
zone 1,PM Peak     ,Hotel : Home                            ,2218,1411,347,212,248,0
zone 1,PM Peak     ,Hotel : Work                            ,667,386,61,212,8,0
zone 1,PM Peak     ,Hotel : Shop                            ,257,207,51,0,0,0
zone 1,PM Peak     ,Hotel : Education                       ,132,132,0,0,0,0
zone 1,PM Peak     ,Hotel : Tourist                         ,759,585,134,39,0,0
zone 1,PM Peak     ,Hotel : Hotel                           ,1577,1389,147,41,0,0
zone 1,PM Peak     ,Hotel : Other                           ,4778,3392,644,271,95,377
zone 1,PM Peak     ,Hotel : Unknown/Not Given               ,375,319,0,0,17,39
zone 1,PM Peak     ,Other : Home                            ,52578,29885,7576,7287,7297,532
zone 1,PM Peak     ,Other : Work                            ,2158,1216,630,201,104,7
zone 1,PM Peak     ,Other : Shop                            ,2483,1281,256,107,125,715
zone 1,PM Peak     ,Other : Education                       ,1530,1017,122,312,79,0
zone 1,PM Peak     ,Other : Tourist                         ,509,354,18,80,58,0
zone 1,PM Peak     ,Other : Hotel                           ,6009,4743,1016,90,116,43
zone 1,PM Peak     ,Other : Other                           ,19990,13727,2078,2934,1097,155
zone 1,PM Peak     ,Other : Unknown/Not Given               ,1073,719,42,21,84,207
zone 1,PM Peak     ,Unknown/Not Given : Home                ,7995,3131,1377,2548,507,433
zone 1,PM Peak     ,Unknown/Not Given : Work                ,275,175,44,50,7,0
zone 1,PM Peak     ,Unknown/Not Given : Shop                ,186,183,3,0,0,0
zone 1,PM Peak     ,Unknown/Not Given : Education           ,1,0,0,1,0,0
zone 1,PM Peak     ,Unknown/Not Given : Tourist             ,30,30,0,0,0,0
zone 1,PM Peak     ,Unknown/Not Given : Hotel               ,114,114,0,0,0,0
zone 1,PM Peak     ,Unknown/Not Given : Other               ,1056,658,262,44,48,43
zone 1,PM Peak     ,Unknown/Not Given : Unknown/Not Given   ,68084,92,215,30,6,67741
zone 1,Evening     ,Home : Home                             ,1615,757,291,485,47,36
zone 1,Evening     ,Home : Work                             ,7737,3407,2024,1939,189,177
zone 1,Evening     ,Home : Shop                             ,436,285,53,49,48,0
zone 1,Evening     ,Home : Education                        ,1001,345,192,413,43,8
zone 1,Evening     ,Home : Tourist                          ,63,43,12,8,0,0
zone 1,Evening     ,Home : Hotel                            ,845,503,225,3,58,56
zone 1,Evening     ,Home : Other                            ,10069,6948,1231,1180,518,192
zone 1,Evening     ,Home : Unknown/Not Given                ,3023,1318,319,1189,93,104
zone 1,Evening     ,Work : Home                             ,178421,67372,44483,60360,4135,2070
zone 1,Evening     ,Work : Work                             ,3367,1304,1229,690,92,53
zone 1,Evening     ,Work : Shop                             ,1045,99,355,581,10,0
zone 1,Evening     ,Work : Education                        ,240,100,24,111,6,0
zone 1,Evening     ,Work : Tourist                          ,1,1,0,0,0,0
zone 1,Evening     ,Work : Hotel                            ,2297,1530,272,386,51,57
zone 1,Evening     ,Work : Other                            ,12468,6219,2767,3313,81,87
zone 1,Evening     ,Work : Unknown/Not Given                ,1060,309,128,300,20,302
zone 1,Evening     ,Shop : Home                             ,6175,2272,1420,2406,74,3
zone 1,Evening     ,Shop : Work                             ,37,37,0,0,0,0
zone 1,Evening     ,Shop : Shop                             ,363,143,70,114,36,0
zone 1,Evening     ,Shop : Education                        ,38,27,0,11,0,0
zone 1,Evening     ,Shop : Tourist                          ,29,29,0,0,0,0
zone 1,Evening     ,Shop : Hotel                            ,1072,601,471,0,0,0
zone 1,Evening     ,Shop : Other                            ,499,126,103,232,39,0
zone 1,Evening     ,Shop : Unknown/Not Given                ,75,59,0,0,1,16
zone 1,Evening     ,Education : Home                        ,23549,8201,4928,9502,456,462
zone 1,Evening     ,Education : Work                        ,76,25,0,32,13,6
zone 1,Evening     ,Education : Shop                        ,276,0,248,27,0,0
zone 1,Evening     ,Education : Education                   ,645,141,113,381,9,0
zone 1,Evening     ,Education : Hotel                       ,76,52,7,18,0,0
zone 1,Evening     ,Education : Other                       ,1279,600,335,296,12,34
zone 1,Evening     ,Education : Unknown/Not Given           ,60,60,0,0,0,0
zone 1,Evening     ,Tourist : Home                          ,811,411,129,108,149,14
zone 1,Evening     ,Tourist : Shop                          ,61,1,58,2,0,0
zone 1,Evening     ,Tourist : Tourist                       ,169,119,44,0,0,7
zone 1,Evening     ,Tourist : Hotel                         ,529,402,111,15,0,0
