NLC,Station name,Time period,all modes,Work,Home,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given   ,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given
513,Bank / Monument     ,Early ,1729,10,10,28,10,0,0,0,0,0,1691,10,10,0,0,0,0,0,1709
513,Bank / Monument     ,AM peak     ,17435,12109,909,14080,2355,0,100,0,1,825,74,1130,13878,13,820,201,0,569,824
513,Bank / Monument     ,Midday,30823,1941,4669,7250,12503,329,1661,913,837,4977,2352,9463,7685,986,1798,1292,1268,5514,2818
513,Bank / Monument     ,PM Peak     ,64703,221,33047,3911,42295,169,1146,1335,0,2700,13148,36696,2504,685,1923,211,414,6948,15323
513,Bank / Monument     ,Evening     ,26934,49,14064,1322,15641,55,524,187,3,4400,4801,17928,451,133,0,0,573,2613,5237
513,Bank / Monument     ,Late  ,9432,95,2604,268,3149,0,27,53,0,1993,3943,4224,500,0,56,53,87,510,4003
513,Bank / Monument     ,   Total day,151055,14426,55303,26858,75953,553,3458,2488,841,14895,26008,69450,25028,1816,4597,1757,2341,16153,29913
501,Barbican,Early ,120,0,0,0,0,0,0,0,0,2,118,0,2,0,0,0,0,0,118
501,Barbican,AM peak     ,1446,652,68,945,202,23,80,0,63,72,60,159,928,33,147,5,72,95,7
501,Barbican,Midday,4870,234,763,1146,1620,0,505,404,281,375,539,2012,1011,104,100,321,88,590,644
501,Barbican,PM Peak     ,9420,138,5483,746,6639,2,336,689,150,528,331,6202,261,133,103,174,719,1310,517
501,Barbican,Evening     ,3062,12,1531,201,1699,0,133,15,7,901,106,2507,28,59,28,0,69,213,158
501,Barbican,Late  ,1191,0,165,33,165,0,3,0,0,770,220,856,0,0,0,0,72,43,221
501,Barbican,   Total day,20109,1036,8010,3072,10324,25,1057,1109,500,2648,1375,11736,2230,329,378,500,1019,2251,1666
514,Barking ,Early ,4511,56,0,56,0,0,0,0,0,0,4455,0,56,0,0,0,0,0,4455
514,Barking ,AM peak     ,9205,5495,57,6805,408,1,123,0,123,88,1656,240,5936,1,874,28,74,368,1684
514,Barking ,Midday,7348,1090,654,2674,1171,179,275,0,534,471,2044,1132,1449,344,391,106,492,1012,2423
514,Barking ,PM Peak     ,6413,524,2197,1638,2599,46,3,0,151,285,1691,2275,676,237,27,0,117,1194,1885
514,Barking ,Evening     ,3306,419,982,704,1099,0,12,0,119,514,858,1249,535,3,0,0,182,251,1086
514,Barking ,Late  ,876,85,235,88,274,0,0,0,0,74,441,309,110,0,1,0,0,2,455
514,Barking ,   Total day,31660,7668,4125,11965,5551,226,413,0,927,1432,11145,5205,8763,584,1293,134,865,2828,11988
515,Barkingside   ,Early ,483,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,483
515,Barkingside   ,AM peak     ,1303,1099,8,1132,23,0,0,0,0,37,111,8,1144,2,0,0,0,38,111
515,Barkingside   ,Midday,531,83,11,184,106,0,28,0,0,49,163,11,175,42,28,0,0,112,163
515,Barkingside   ,PM Peak     ,359,0,236,33,249,0,32,0,0,0,45,236,13,0,0,0,0,37,73
515,Barkingside   ,Evening     ,77,1,0,1,0,0,0,0,0,28,47,28,1,0,0,0,0,0,47
515,Barkingside   ,Late  ,17,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16
515,Barkingside   ,   Total day,2769,1183,254,1350,379,0,61,0,0,114,866,283,1334,43,28,0,0,187,894
516,Barons Court  ,Early ,324,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,324
516,Barons Court  ,AM peak     ,4183,2886,29,3229,63,0,114,0,0,90,686,39,3001,17,308,0,0,168,650
516,Barons Court  ,Midday,3174,527,80,1656,428,0,610,0,0,229,251,761,868,236,507,55,0,607,140
516,Barons Court  ,PM Peak     ,3517,38,1425,831,1732,0,283,0,0,179,491,1840,69,5,10,0,13,920,660
516,Barons Court  ,Evening     ,978,1,173,139,177,0,463,0,0,121,78,717,1,18,0,0,4,151,87
516,Barons Court  ,Late  ,195,3,50,3,50,0,0,0,0,55,88,104,3,0,0,0,0,0,88
516,Barons Court  ,   Total day,12370,3454,1757,5858,2449,0,1471,0,0,674,1919,3461,3942,276,825,55,17,1846,1948
